ORDER,FAMILY,GENUS,SPECIES,DESCRIBER,YEAR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,MUSEUM,SOURCE,ANA,BAR,CAT,CLE,COR,CRU,GUA,MIG,NIC,ROS,NO,SO,COLLECTOR,MONTH,YRCOLL,NOSPEC,ECOLOGY,NOTES
Acari,Ixodidae,Ixodes,pacificus,Cooley & Kohls,1943,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,63,,,,map,,x,x,,,x,,x,,x,,,,0,,,,
Acari,Ixodidae,Ixodes,peromysci,Augustson,1939,,Cooley & Kohls,1945,Nat. Inst. Health Bull.,184,1,-246,,,,,x,,,,,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,peromysci,Augustson,1939,,Keirans & Clifford,1978,J. Med. Ent. Suppl.,2,107,,,,lit,,x,,x,,,,,,,,,,0,,,on Peromyscus maniculatus,
Acari,Ixodidae,Ixodes,peromysci,Augustson,1939,,Lane et al.,1983,Pan-Pac. Ent.,58,96,-104,,,,x,x,,,,,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,peromysci,Augustson,1939,,Augustson,1940,Bull. S. Calif. Acad. Sci.,38,141,-147,,,lit,,x,,,,,,,,,,,,0,,,Peromyscus maniculatus elusus,
Acari,Ixodidae,Ixodes,peromysci,Augustson,1939,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,64,,,,,x,x,,,,,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,peromysci,Augustson,1939,,"Fellers, G. & Drost, C.",1991,Herp. Monographs,5,61,,,,,,x,,,,,,,,,,,,,,,found on lizards,
Acari,Ixodidae,Ixodes,peromysci,Augustson,1939,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,61,,,,map,x,x,,,,,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,rugosus,Bishopp,1911,,Lane et al.,1983,Pan-Pac. Ent.,58,96,-104,,,,,,,,,x,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,rugosus,Bishopp,1911,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,65,,,,,,,,,,x,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,rugosus,Bishopp,1911,,"Bennett, S. et al.",1989,Bull. Soc. Vector Ecol.,14(2),262,-265,,SBM,,,,,,,x,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,rugosus,Bishopp,1911,,"Bennett, S. et al.",1989,Bull. Soc. Vector Ecol.,14(2),262,-265,,SBM,,,,,,,,,,,x,,,,0,,4,"removed from fox, 2 nymphs",7 larvae
Acari,Ixodidae,Ixodes,rugosus,Bishopp,1911,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,68,,,,map,,,,,,x,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,sculptus,Neumann,1904,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,68,,,,map,,x,,,,,,,,,,,,0,,,,
Acari,Ixodidae,Ixodes,signatus,Birula,1895,,Schwan & Kelly,1981,J. Med. Ent.,18,171,-172,,,,,,,,,,,x,,,,,,0,,,found on Cepphus columba,
Acari,Ixodidae,Ixodes,signatus,Birula,1895,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,71,,,,map,,,,,,,,x,,,,,,0,,,,
Acari,Ixodidae,Ixodes,signatus,Birula,1895,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,68,,,,,,,,,,,,x,,,,,,0,,,,
Acari,Ixodidae,Ixodes (Ixodes),pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,91,,,,,,,x,,,,,,,,,,,6,1979,1,larva on G. multicarinatus,Isthmus Cove
Acari,Ixodidae,Ixodes (Ixodes),pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,91,,,,,,,x,,,,,,,,,,,2,1982,1,larva,
Acari,Ixodidae,Ixodes (Ixodes),pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,92,,,,,,,,,,x,,,,,,,,2,1982,3,larvae on Uta stansburiana,
Acari,Ixodidae,Ixodes (Ixodes),pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,91,,,,,,,,,,,,,,x,,,,5,1978,1,larva on G. multicarinatus,
Acari,Ixodidae,Ixodes (Ixodes),pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,91,,,,,,,x,,,,,,,,,,,2,1982,1,larva on Uta stansburiana,
Acari,Ixodidae,Ixodes (Ixodes),pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,91,,,,,,,x,,,,,,,,,,,5,1988,2,larvae on G. multicarinatus,
Acari,Ixodidae,Ixodes (Ixodes),pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,92,,,,,,,,,,x,,,,,,,,2,1967,,larvae on G. multicarinatus,Prisoner's Harbor
Acari,Ixodidae,Ixodes (Ixodes),pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,91,,,,,,,x,,,,,,,,,,,5,1980,4,larvae on G. multicarinatus,Toyon Canyon
Acari,Ixodidae,Ixodes (Ixodes),pacificus,Cooley & Kohls,1943,,Arthur & Snow,1968,Parasitology,58,901,",902",,,,,,x,,,,,,,,,,,,,,,
Acari,Ixodidae,Ixodes (Ixodes),peromysci,Augustson,1939,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,92,,,,,,x,,,,,,,,,,,,5,1939,1,on Peromyscus maniculatus,
Acari,Ixodidae,Ixodes (Ixodes),peromysci,Augustson,1939,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,93,,,,,x,,,,,,,,,,,,,10,1978,2,larvae on P. maniculatus,SBMNH No. 104
Acari,Ixodidae,Ixodes (Ixodes),peromysci,Augustson,1939,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,93,,,,,,x,,,,,,,,,,,,5,1939,1,larva on P. maniculatus,
Acari,Ixodidae,Ixodes (Ixodes),peromysci,Augustson,1939,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,92,,,,,x,,,,,,,,,,,,,10,1978,2,on P. M. anacapae,SBMNH Vent. Sta. 110
Acari,Ixodidae,Ixodes (Pholeoixodes),rugosus,Bishopp,1911,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,94,,,,,,,,,,,,,,x,,,,7,1988,7,larvae on U. l. santarosae,Bennett et al. (1989)
Acari,Ixodidae,Ixodes (Pholeoixodes),rugosus,Bishopp,1911,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,93,,,,,,,,,,,,,,x,,,,7,1988,3,on Urocyon littoralis,"(SRI# 1-A, -B, -C)"
Acari,Ixodidae,Ixodes (Scaphixodes),sinatus,Birula,1895,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,97,,,,,,,,,,,,x,,,,,,7,1977,1,larva on Cepphus columba,Prince Island
Acari,Labidostommatidae,Labidostomma,sp. (nr. plumosum),,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Laelapidae,Gymnolaelaps,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Laelapidae,undetermined,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Liacaridae,Liacarus,sp. nr. bidentatus,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Licnodamaeidae,Licnodamaeus,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Macronyssidae,Ophionyssus,natricis,(Gervais),1844,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,,,x,,,,,,,,,,Bennett,0,,,Gerrhonotus multicarinatus as,
Acari,Macronyssidae,Ornithonyssus,bacoti,(Hirst),1913,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,,,x,,,,,,,,,,Bennett,0,,,,
Acari,Macronyssidae,Ornithonyssus,sylviarum,(Canestrini & Fanzag,1877,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,,,x,,,,,,,,,,Bennett,0,,,Hirundo rustica nest,
Acari,Macronyssidae,Pellonyssus,passeri,Clark & Yunker,1956,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,,,x,,,,,,,,,,Bennett,0,,,Selasphorus sasin as host,
Acari,Metrioppiidae,undetermined,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Mycobatidae,Zatvatkinobates,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Myobiidae,Pteracarus,sp. (nr.) chalinolobus,Womersley,1941,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,,,x,,,,,,,,,,Bennett,0,,,Myotis evotis as host,Toyon Bay
Acari,Nanorchestidae,Nanorchestes,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Ologamasidae,Acugamasus,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Ologamasidae,Gamasellus,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Oppiidae,Oppiella,2 spp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,on L. floribundis
Acari,Oribatulidae,Phauloppia,sp.,,,as Phaulopia,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,on L. floribundis
Acari,Parasitidae,Poecilochirus,pilosula,(Banks),1904,as Laelaps,Banks,1904,Proc. Calif. Acad. Sci. ser.3,3,368,,,,,,,,,,,,,,x,,,Eisen,7,,,,
Acari,Parasitidae,Poecilochirus,pilosula,(Banks),1904,as Laelaps,"Cox, Jahraus & Moore",1921,Pom Coll. J. Ent. & Zool.,13,23,-37,,,,,,,,,,,,,x,,,,0,,,,
Acari,Parasitidae,Poecilochirus,pilosula,(Banks),1904,,Johnston,1985,Ent. Calif. Ch. Isl.,,25,,,,,,,,,,,,,,x,,,,0,,,,
Acari,Paratydeidae,undetermined,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,,,,,
Acari,Parholaspididae,undetermined,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,on L. floribundis
Acari,Phenopelopidae,Propelops,"""canadensis/rossica grp.""",,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,169,,,,,,,x,,,,,,,,,,,0,,,,on L. floribundis
Acari,Phenopelopidae,Propelops,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,169,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Phthiracaridae,Phthiracarus,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Phytoseiidae,Chelaseius,floridanus,(Muma),1955,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Phytoseiidae,Chelaseius,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,
Acari,Protoplaphoridae,undetermined,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
Acari,Psoroptidae,undetermined,sp.,,,,Pfaffman,1932,"Mon. Bull., Calif. Dept. Agri.",20,540,-542,,,,,,,x,,,,,,,,,,0,,,,
Acari,Rhagidiidae,Coccorhagidia,sp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,,,x,,,,,,,,,,,0,,,,L. floribundus litter
