source,order,family,genus,specificEp,yearpub,PUBL,year,month,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa 
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),sola,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,1
lit,Hymenoptera,Andrenidae,Andrena (Melandrena),sp.,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Micrandrena),chlorogaster,1939,Pom. Coll. J. Ent. & Zool.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Micrandrena),chlorogaster,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Micrandrena),chlorogaster,1951,Proc. U.S. Natl. Mus.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Micrandrena),chlorogaster,1968,Bull. Univ. Nebr. State Mus.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Micrandrena),chlorogaster,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Micrandrena),piperi,1968,Bull. Univ. Nebr. State Mus.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Micrandrena),piperi,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Onagrandrena),oenotherae,1973,Univ. Calif. Publ. Ent.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Onagrandrena),oenotherae,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Plastandrena),prunorum prunorum,1985,Ent. Calif. Ch. Isls. Proc.,1978,6,1,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Plastandrena),prunorum prunorum,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Simandrena),hypoleuca,1939,Pom. Coll. J. Ent. & Zool.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Simandrena),hypoleuca,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Simandrena),hypoleuca,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Simandrena),hypoleuca,1989,Trans. Amer. Ent. Soc.,,,,,1,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Simandrena),pallidifovea,1989,Trans. Amer. Ent. Soc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Simandrena),sp.,1985,Ent. Calif. Ch. Isls. Proc.,1979,3,1,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena (Simandrena),sp.,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena (Thysandrena),candida,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,1,,,
lit,Hymenoptera,Andrenidae,Panurginus,armaticeps,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Panurginus,gracilis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Perdita,layiae layiae,1938,Ann. & Mag. Nat. Hist.,1938,5,,,,,,1,,
lit,Hymenoptera,Andrenidae,Perdita,layiae layiae,1938,Ann. & Mag. Nat. Hist. ser. 11,,,,,,,,1,,
lit,Hymenoptera,Andrenidae,Perdita,layiae layiae,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Andrenidae,Perdita,layiae layiae,1956,Univ. Calif. Publ. Ent.,,,,,,,,1,,
lit,Hymenoptera,Andrenidae,Perdita,layiae layiae,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,1,,
lit,Hymenoptera,Andrenidae,Perdita,sp.,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,1
lit,Hymenoptera,Andrenidae,Pterosarus,californicus,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,1,,,,1
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),bomboides,1902,Rep. Agr. Exp. Sta. Univ. Cal,1898,6,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),bomboides,1938,Ann. & Mag. Nat. Hist.,1938,5,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),bomboides,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),bomboides,1939,Sci. Mon.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),bomboides,1983,Univ. Calif. Publ. Ent.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),bomboides,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),californica,1988,Univ. Kansas Sci. Bull.,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),californica,1988,Univ. Kansas Sci. Bull.,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Anthophora (Anthophora),catalinae,NA,,,,,,,,,,,
