 ,Country,State,County,Island,Locality Detail,FROM Date Collected,TO Date Collected,Collector(s),Order,Family,Subfamily,Genus,Subgenus,Species,Subspecies,Drawer,Survey,Sex,Collecting Remarks,Type,Curation Remarks,Count,Part,Stage,Elevation,Lat,Lon,,,,,
LACM ENT 397186,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397187,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397188,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397189,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397190,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397191,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397192,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397193,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397194,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397195,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397196,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397197,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397198,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397199,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397200,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397201,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397202,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397203,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397204,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397205,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397206,USA,CA,Ventura,San Nicolas,,12.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397207,USA,CA,Ventura,San Nicolas,,21.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397208,USA,CA,Ventura,San Nicolas,,21.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397209,USA,CA,Ventura,San Nicolas,,21.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397210,USA,CA,Ventura,San Nicolas,,21.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397211,USA,CA,Ventura,San Nicolas,,21.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397212,USA,CA,Ventura,San Nicolas,,21.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397213,USA,CA,Ventura,San Nicolas,,21.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397214,USA,CA,Ventura,San Nicolas,,21.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397215,USA,CA,Ventura,San Nicolas,,21.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,,,Partial,,,,,,,,,,,
LACM ENT 397216,USA,CA,Ventura,San Nicolas,,21.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,On Atriplex,,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397217,USA,CA,Ventura,San Nicolas,,21.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,, ,,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397218,USA,CA,Ventura,San Nicolas,,21.iv.1940,,L. Kartman,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,, ,,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397219,USA,CA,Ventura,San Nicolas,,21.iv.1940,,L. Kartman,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,, ,,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397220,USA,CA,Ventura,San Nicolas,,13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,On Atriplex,,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397221,USA,CA,Ventura,San Nicolas,,13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,On Abronia maritima,,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397222,USA,CA,Ventura,San Nicolas,,13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,On Abronia maritima,,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397223,USA,CA,Ventura,San Nicolas,,13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,On Abronia maritima,,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397224,USA,CA,Ventura,San Nicolas,,13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,On Abronia maritima,,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397225,USA,CA,Ventura,San Nicolas,,13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,,On Atriplex,,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397226,USA,CA,Ventura,San Nicolas,, ,, ,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,, ,,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397227,USA,CA,Ventura,San Nicolas,, ,, ,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,, ,,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397228,USA,CA,Ventura,San Nicolas,, 24.iv.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F,On Abronia maritima,Paratype, ,,,,,,,,,,,
LACM ENT 397229,USA,CA,Ventura,San Nicolas,, 24.iv.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F,On Abronia maritima,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397230,USA,CA,Ventura,San Nicolas,, 23.iv.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype, ,,,,,,,,,,,
LACM ENT 397231,USA,CA,Ventura,San Nicolas,, 23.iv.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397232,USA,CA,Ventura,San Nicolas,, 23.iv.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397233,USA,CA,Ventura,San Nicolas,, 23.iv.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397234,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype, ,,,,,,,,,,,
LACM ENT 397235,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype,,,,,,,,,,,,
LACM ENT 397236,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype,,,,,,,,,,,,
LACM ENT 397237,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype,,,,,,,,,,,,
LACM ENT 397238,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype,,,,,,,,,,,,
LACM ENT 397239,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397240,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397241,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397242,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397243,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397244,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, , ,,,,,,,,,,,,
LACM ENT 397245,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397246,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397247,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, , ,,,,,,,,,,,,
LACM ENT 397248,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397249,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397250,USA,CA,Ventura,San Nicolas,, 16.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397251,USA,CA,Ventura,San Nicolas,, 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397252,USA,CA,Ventura,San Nicolas,, 13.iv.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype,,,,,,,,,,,,
LACM ENT 397253,USA,CA,Ventura,San Nicolas,, 26.iv.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397254,USA,CA,Ventura,San Nicolas,, 26.iv.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397255,USA,CA,Ventura,San Nicolas,, 26.iv.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397256,USA,CA,Ventura,San Nicolas,, 26.iv.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype,,,,,,,,,,,,
LACM ENT 397257,USA,CA,Ventura,San Nicolas,, 26.iv.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397258,USA,CA,Ventura,San Nicolas,, 27.xi.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397259,USA,CA,Ventura,San Nicolas,, 27.xi.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397260,USA,CA,Ventura,San Nicolas,, 27.xi.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,,,,,,,,,,,,
LACM ENT 397261,USA,CA,Ventura,San Nicolas,, 27.xi.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype,,,,,,,,,,,,
LACM ENT 397262,USA,CA,Ventura,San Nicolas,, 27.xi.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype,,,,,,,,,,,,
LACM ENT 397263,USA,CA,Ventura,San Nicolas,, 27.xi.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,M, ,Paratype,,,,,,,,,,,,
LACM ENT 397264,USA,CA,Ventura,San Nicolas,, 27.xi.1940,, ,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nicolana,26Q-04637,Channel Islands Survey,F, ,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397265,USA,CA,Ventura,San Nicolas,, 25.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,longinoda,26Q-04637,Channel Islands Survey,F,On Atriplex,Paratype,,,,,,,,,,,,
LACM ENT 397266,USA,CA,Ventura,San Nicolas,, 25.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,longinoda,26Q-04637,Channel Islands Survey,F,On Atriplex,Paratype,,,,,,,,,,,,
LACM ENT 397267,USA,CA,Ventura,San Nicolas,, 25.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,longinoda,26Q-04637,Channel Islands Survey,M,On Atriplex,Paratype,,,,,,,,,,,,
LACM ENT 397268,USA,CA,Ventura,San Nicolas,, 25.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,longinoda,26Q-04637,Channel Islands Survey,M,On Atriplex,Paratype,,,,,,,,,,,,
LACM ENT 397269,USA,CA,Ventura,San Nicolas,, 25.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,longinoda,26Q-04637,Channel Islands Survey,F, ,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397270,USA,CA,Ventura,San Nicolas,, 25.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,longinoda,26Q-04637,Channel Islands Survey,M,,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397271,USA,CA,Ventura,San Nicolas,, 5.xii.1940,,C. Henne,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,longinoda,26Q-04637,Channel Islands Survey,F,On Atriplex,,,,,,,,,,,,,
LACM ENT 397272,USA,CA,Ventura,San Nicolas,, 12.xii.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey, , ,,,,,,,,,,,,,
LACM ENT 397273,USA,CA,Ventura,San Nicolas,, 12.xii.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397274,USA,CA,Ventura,San Nicolas,, 12.xii.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397275,USA,CA,Ventura,San Nicolas,, 30.xii.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397276,USA,CA,Ventura,San Nicolas,, 30.xii.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397277,USA,CA,Ventura,San Nicolas,, 30.xii.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397278,USA,CA,Ventura,San Nicolas,, 30.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397279,USA,CA,Ventura,San Nicolas,, 30.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397280,USA,CA,Ventura,San Nicolas,, 30.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397281,USA,CA,Ventura,San Nicolas,, 30.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397282,USA,CA,Ventura,San Nicolas,, 30.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397283,USA,CA,Ventura,San Nicolas,, 30.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397284,USA,CA,Ventura,San Nicolas,, 30.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397285,USA,CA,Ventura,San Nicolas,, 30.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397286,USA,CA,Ventura,San Nicolas,, 30.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397287,USA,CA,Ventura,San Nicolas,, 30.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397288,USA,CA,Ventura,San Nicolas,, 30.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397289,USA,CA,Ventura,San Nicolas,, 27.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397290,USA,CA,Ventura,San Nicolas,, 9.xii.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397291,USA,CA,Ventura,San Nicolas,, 9.xii.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397292,USA,CA,Ventura,San Nicolas,, 9.xii.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,,,,,,,,,,,,,,,
LACM ENT 397293,USA,CA,Ventura,San Nicolas,, 23.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey, M,,Paratype,,,,,,,,,,,,
LACM ENT 397294,USA,CA,Ventura,San Nicolas,, 23.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,F,,Paratype,,,,,,,,,,,,
LACM ENT 397295,USA,CA,Ventura,San Nicolas,, 23.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey, M,,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
LACM ENT 397296,USA,CA,Ventura,San Nicolas,, 23.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey, M,,Paratype,,,,,,,,,,,,
LACM ENT 397297,USA,CA,Ventura,San Nicolas,, 23.xi.1940,,G. P. Kanakoff,Coleoptera,Curculionidae,,Trigonoscuta,,nicolana,nonemarginata,26Q-04637,Channel Islands Survey,F,,Paratype,"Gelatin capsule, partial insects",,,,,,,,,,,
