source,order,family,genus,subgenus,specificEp,scientificName,yearpub,PUBL,year,month,Anacapa,Santa Barbara,Santa Catalina,San Clemente,Santa Cruz,San Miguel,San Nicholas,Santa Rosa 
lit,Hymenoptera,Andrenidae,Andrena,(Melandrena),perimelas,Andrena perimelas,1979,Trans. Amer. Ent. Soc.,,,,,1,,1,1,,
lit,Hymenoptera,Andrenidae,Andrena,(Melandrena),perimelas,Andrena perimelas,1985,Ent. Calif. Ch. Isls. Proc.,1979,3,1,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena,(Melandrena),perimelas,Andrena perimelas,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,1,,1,1,,
lit,Hymenoptera,Andrenidae,Andrena,(Melandrena),sola,Andrena sola,1979,Trans. Amer. Ent. Soc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,(Melandrena),sola,Andrena sola,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,1
lit,Hymenoptera,Andrenidae,Andrena,(Melandrena),,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,(Micrandrena),chlorogaster,Andrena chlorogaster,1939,Pom. Coll. J. Ent. & Zool.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,(Micrandrena),chlorogaster,Andrena chlorogaster,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,(Micrandrena),chlorogaster,Andrena chlorogaster,1951,Proc. U.S. Natl. Mus.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,(Micrandrena),chlorogaster,Andrena chlorogaster,1968,Bull. Univ. Nebr. State Mus.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,(Micrandrena),chlorogaster,Andrena chlorogaster,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,(Micrandrena),piperi,Andrena piperi,1968,Bull. Univ. Nebr. State Mus.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,(Micrandrena),piperi,Andrena piperi,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,(Onagrandrena),oenotherae,Andrena oenotherae,1973,Univ. Calif. Publ. Ent.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,(Onagrandrena),oenotherae,Andrena oenotherae,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena,(Plastandrena),prunorum prunorum,Andrena prunorum prunorum,1985,Ent. Calif. Ch. Isls. Proc.,1978,6,1,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena,(Plastandrena),prunorum prunorum,Andrena prunorum prunorum,1985,Ent. Calif. Ch. Isls. Proc.,,,1,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,(Simandrena),hypoleuca,Andrena hypoleuca,1939,Pom. Coll. J. Ent. & Zool.,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,(Simandrena),hypoleuca,Andrena hypoleuca,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Andrenidae,Andrena,(Simandrena),hypoleuca,Andrena hypoleuca,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,(Simandrena),hypoleuca,Andrena hypoleuca,1989,Trans. Amer. Ent. Soc.,,,,,1,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,(Simandrena),pallidifovea,Andrena pallidifovea,1989,Trans. Amer. Ent. Soc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,(Simandrena),,,1985,Ent. Calif. Ch. Isls. Proc.,1979,3,1,,,,,,,
lit,Hymenoptera,Andrenidae,Andrena,(Simandrena),,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Andrena,(Thysandrena),candida,Andrena candida,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,1,,,
lit,Hymenoptera,Andrenidae,Panurginus,,armaticeps,Panurginus armaticeps,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Panurginus,,gracilis,Panurginus gracilis,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,,,
lit,Hymenoptera,Andrenidae,Perdita,,layiae layiae,Perdita layiae layiae,1938,Ann. & Mag. Nat. Hist.,1938,5,,,,,,1,,
lit,Hymenoptera,Andrenidae,Perdita,,layiae layiae,Perdita layiae layiae,1938,Ann. & Mag. Nat. Hist. ser. 11,,,,,,,,1,,
lit,Hymenoptera,Andrenidae,Perdita,,layiae layiae,Perdita layiae layiae,1939,Proc. Calif. Acad. Sci. ser.4,,,,,,,,1,,
lit,Hymenoptera,Andrenidae,Perdita,,layiae layiae,Perdita layiae layiae,1956,Univ. Calif. Publ. Ent.,,,,,,,,1,,
lit,Hymenoptera,Andrenidae,Perdita,,layiae layiae,Perdita layiae layiae,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,1,1,,
lit,Hymenoptera,Andrenidae,Perdita,,,,1985,Ent. Calif. Ch. Isls. Proc.,,,,,,,,,,1
lit,Hymenoptera,Andrenidae,Pterosarus,,californicus,Pterosarus californicus,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,1,,,,1
lit,Hymenoptera,Anthophoridae,Anthophora,(Anthophora),bomboides,Anthophora bomboides,1902,Rep. Agr. Exp. Sta. Univ. Cal,1898,6,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora,(Anthophora),bomboides,Anthophora bomboides,1938,Ann. & Mag. Nat. Hist.,1938,5,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora,(Anthophora),bomboides,Anthophora bomboides,1939,Proc. Calif. Acad. Sci. ser.4,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora,(Anthophora),bomboides,Anthophora bomboides,1939,Sci. Mon.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora,(Anthophora),bomboides,Anthophora bomboides,1983,Univ. Calif. Publ. Ent.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora,(Anthophora),bomboides,Anthophora bomboides,1985,Ent. Calif. Ch. Isls. Proc.,,,,,1,,,,,
lit,Hymenoptera,Anthophoridae,Anthophora,(Anthophora),californica,Anthophora californica,1988,Univ. Kansas Sci. Bull.,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Anthophora,(Anthophora),californica,Anthophora californica,1988,Univ. Kansas Sci. Bull.,,,,,,,,1,,
lit,Hymenoptera,Anthophoridae,Anthophora,(Anthophora),catalinae,Anthophora catalinae,NA,,,,,,,,,,,
