Catalog Number,kingdom,phylum,class,source,order,bee,family,genus,subgenus,specificEp,subspecies,scientificName,scientific name authorship,Collector,Associated Collector(s),month,day,year,Date Collected,Country,State,County,island ,locality ,Country,State/Province,County/Municipality,Verbatim Elevation,Elevation in Meters,Sampling Protocol,Verbatim Coordinates,Decimal Latitude,Decimal Longitude,Donated By,Identified By,Date Identified,Identification Remarks,Field Number,Associated Taxa,Habitat,Additional Label Data,Type Status,# of Male ?,# of Female ?,Individual Count,Sex,Life Stage,Basis of Record,Preparation,Disposition,Language,Institution Code,Collection Code,Owner Institution Code
BMEP0305010,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Anthophora,,urbana,clementina,Anthophora urbana clementina,"Cockerell, 1939","Menke, A.S.","Miller, D.R. | Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas," San Nicolas Island, beach area between Sand Spit and canyon below Sewage Ponds",USA,California,Ventura,,,,,,,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,BMEC
BMEP0323736,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Anthophora,Anthophoroides,californica,,Anthophora californica ,"Cresson, 1869","Menke, A.S.","Rust, R.W., Miller, D.R.",6,5,1978,6/5/78,USA,California,Santa Barbara,Santa Rosa,"Santa Rosa Island, Bechers Bay",United States,California,Santa Barbara,100-300ft,30 m,,,33.993°,-120.039°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,,,
BMEP0323737,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Anthophora,Anthophoroides,californica,,Anthophora californica ,"Cresson, 1869","Menke, A.S.","Rust, R.W., Miller, D.R.",6,5,1978,6/5/78,USA,California,Santa Barbara,Santa Rosa,"Santa Rosa Island, Bechers Bay",United States,California,Santa Barbara,100-300ft,30 m,,,33.993°,-120.039°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,,,
BMEP0323738,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Anthophora,Anthophoroides,californica,,Anthophora californica ,"Cresson, 1869","Menke, A.S.","Rust, R.W., Miller, D.R.",6,5,1978,6/5/78,USA,California,Santa Barbara,Santa Rosa,"Santa Rosa Island, Bechers Bay",United States,California,Santa Barbara,100-300ft,30 m,,,33.993°,-120.039°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,,,
BMEP0328446,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Apis,,mellifera,,Apis mellifera ,"Linnaeus, 1758","Nagano, C.D.","Hogue, J.H.",8,8,1980,8/8/80,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Ben Weston Beach",United States,California,Los Angeles,,,,,33.368°,-118.481°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,LACM,LACM,LACM
BMEP0328447,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Apidae,Apis,,mellifera,,Apis mellifera ,"Linnaeus, 1758","Nagano, C.D.","Hogue, J.H.",8,8,1980,8/8/80,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Ben Weston Beach",United States,California,Los Angeles,,,,,33.368°,-118.481°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,LACM,LACM,LACM
BMEP0325428,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Colletes,,hyalinus,,Colletes hyalinus ,"Provancher, 1888","Powell, J.",,5,2,1978,5/2/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Ben Weston Beach",United States,California,Los Angeles,,,,,33.368°,-118.481°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,LACM,LACM,LACM
BMEP0325429,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Colletes,,hyalinus,,Colletes hyalinus ,"Provancher, 1888","Powell, J.",,5,2,1978,5/2/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Ben Weston Beach",United States,California,Los Angeles,,,,,33.368°,-118.481°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,LACM,LACM,LACM
BMEP0328940,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Powell, J.",,5,2,1978,5/2/78,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Ben Weston Beach",United States,California,Los Angeles,,,,,33.368°,-118.481°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,LACM
BMEP0325697,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Halictidae,Agapostemon,Agapostemon,texanus,,Agapostemon texanus ,"Cresson, 1872","Nagano, C.D.","Hogue, J.N.",8,8,1980,8/8/80,USA,California,Los Angeles,Santa Catalina,"Santa Catalina Island, Ben Weston Beach",United States,California,Los Angeles,,,,,33.368°,-118.481°,,,,,,,,,none,,1,1,Female,adult,preserved specimen,pinned,in collection,en-US,LACM,LACM,LACM
