Catalog Number,kingdom,phylum,class,source,order,bee,family,genus,subgenus,specificEp,subspecies,scientificName,scientific name authorship,Collector,Associated Collector(s),month,day,year,Date Collected,Country,State,County,island ,locality ,Country,State/Province,County/Municipality,Verbatim Elevation,Elevation in Meters,Sampling Protocol,Verbatim Coordinates,Decimal Latitude,Decimal Longitude,Donated By,Identified By,Date Identified,Identification Remarks,Field Number,Associated Taxa,Habitat,Additional Label Data,Type Status,# of Male ?,# of Female ?,Individual Count,Sex,Life Stage,Basis of Record,Preparation,Disposition,Language,Institution Code,Collection Code,Owner Institution Code
BMEP0328773,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,21,1978,6/21/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon to Army Camp Beach",United States,California,,,,,,,,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328774,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,21,1978,6/21/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon to Army Camp Beach",United States,California,,,,,,,,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328786,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,31 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328787,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,32 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328788,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,33 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328789,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,34 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328790,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,35 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328791,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,36 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328792,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,37 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328793,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,38 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328794,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,39 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328795,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,40 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328796,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,41 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328797,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,42 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328798,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,43 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328799,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,44 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328800,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,45 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328801,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,46 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328802,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,47 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328803,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,48 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328804,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,49 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328805,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,50 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328806,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,51 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328807,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,52 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328808,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,53 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328809,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,54 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328810,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,55 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328811,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,56 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328812,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,57 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328813,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,58 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328814,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,59 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328815,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,60 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328816,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,61 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328817,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,62 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328818,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,63 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328819,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,64 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328820,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,65 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328821,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,66 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328822,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,67 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328823,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,68 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328824,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,69 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328825,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,70 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328826,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,71 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328827,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,72 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328828,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,73 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328829,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,74 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328830,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,75 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328831,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,76 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328832,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,77 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328833,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,78 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328834,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,79 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328835,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,80 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328836,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,81 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328837,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,82 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
BMEP0328838,Animalia,Arthropoda,Insecta,Bohart,Hymenoptera,Anthophila,Colletidae,Hyalinus,,gaudialis,,Hyalinus gaudialis ,"(Cockerell, 1905)","Menke, A.S.","Miller, D.R. and Rust, R.W.",6,22,1978,6/22/78,USA,California,Ventura,San Nicolas,"San Nicolas Island, Celery Canyon",United States,California,Ventura,100ft,83 m,,,33.259°,-119.492°,,,,,,,,,none,,,1,,adult,preserved specimen,pinned,in collection,en-US,UCD,BMEC,USNM
