"","Var1","Freq"
"1","Acrididae",343
"2","Anostostomatidae",10
"3","Diapheromeridae",1
"4","Eumastacidae",1
"5","Gryllidae",73
"6","Mogoplistidae",4
"7","Myrmecophilidae",1
"8","Rhaphidophoridae",17
"9","Stenopelmatidae",40
"10","Tetrigidae",31
"11","Tettigoniidae",35
"12","Trigonidiidae",1
