id,source,institutio,collection,ownerInsti,collecti_1,basisOfRec,occurrence,catalogNum,otherCatal,kingdom,phylum,class,order_,acceptedOrder,family,acceptedFamily,scientific,taxonID,scientif_1,genus,acceptedGenus,specificEp,acceptedName,taxonRank,infraspeci,identified,dateIdenti,identifica,identifi_1,taxonRemar,identifi_2,typeStatus,recordedBy,recordNumb,eventDate,year,month,day,startDayOf,endDayOfYe,verbatimEv,occurren_1,habitat,fieldNumbe,informatio,dataGenera,dynamicPro,associated,reproducti,establishm,lifeStage,sex,individual,samplingPr,samplingEf,preparatio,country,stateProvi,county,municipali,locality,locationRe,island,decimalLat,decimalLon,geodeticDa,coordinate,verbatimCo,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,minimumEle,maximumEle,minimumDep,maximumDep,verbatimDe,verbatimEl,dispositio,language,recordEnte,modified,rights,rightsHold,accessRigh,recordId,references
2380511,Cal-IBIS,UF,Invertebrate Zoology, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,ABEB186D-A267-44AD-BCF4-8205E4A64ABB,52953-Mollusca, , , , , ,,Colloniidae,,Homalopoma luridum,229868,"(Dall, 1885)",Homalopoma,,luridum,, , , , , , , , , ,"Goliech, W.", ,,,,0,0,0, , , , , , , , , , , , ,0, , ,dry - 9999,United States,California,Los Angeles County, ,"San Pedro, Point Fermin", ,Santa Cruz,34.03417,-119.5206, ,0, , , , , , , , , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:136ecb85-bd3b-4fc4-8770-fd2528a3f9f0,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2380511
2380376,Cal-IBIS,UF,Invertebrate Zoology, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,FD53B9D2-08A0-41EF-A8FF-1730A87C384D,353384-Mollusca, ,Animalia,Mollusca,Gastropoda,Stylommatophora,Stylommatophora,Xanthonychidae,Xanthonychidae,Xerarionta kellettii,440323,"(Forbes, 1850)",Xerarionta,Xerarionta,kellettii,Xerarionta kellettii, , , , , , , , , ,"Hemphill, H.", ,,,,0,0,0, , , , , , , , , , , , ,0, , ,dry - 5,United States,California,Los Angeles County, ,Santa Catalina Island, ,Santa Catalina,33.38333,-118.4167, ,0, , , , , , , , , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:4792a584-d84a-415b-a8b3-f68b5333fa65,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2380376
2380373,Cal-IBIS,UF,Invertebrate Zoology, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,747A01C3-DB13-4D99-85F6-CC636E7BB799,353370-Mollusca, ,Animalia,Mollusca,Gastropoda,Stylommatophora,Stylommatophora,Xanthonychidae,Xanthonychidae,Xerarionta kellettii,440323,"(Forbes, 1850)",Xerarionta,Xerarionta,kellettii,Xerarionta kellettii, , , , , , , , , ,"Hemphill, H.", ,,,,0,0,0, , , , , , , , , , , , ,0, , ,dry - 10,United States,California,Los Angeles County, ,Santa Catalina Island, ,Santa Catalina,33.38333,-118.4167, ,0, , , , , , , , , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:8ca6fc20-f9d7-452e-b82d-97bebcead211,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2380373
2379680,Cal-IBIS,USNM,Invertebrate Zoology, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/32a11c520-e83d-4d4a-aa79-5f11a3001e74,211326, , , , , ,,Clathurellidae,,Crockerella eriphyle,147308,"(Dall, 1919)",Crockerella,,eriphyle,, , , , , , , , ,LECTOTYPE,United States Fish Commission, ,,1889,1,7,7,7,1889-01-07T00:00:00, , ,USFC/A2902, , , , , , , , ,1, , ,Dry,United States,California, , ,"Channel Islands, Santa Cruz Channel, Santa Rosa Island", ,Santa Rosa,34.1,-120.033, ,0, , , , , , , , , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:ed0964f4-364d-4190-b153-490888069792,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2379680
2379491,Cal-IBIS,USNM,Invertebrate Zoology, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/34630f174-d60f-4902-8cd4-f5d6b121dd54,211303, , , , , ,,Rhizoridae,,Volvulella californica,438370,"Dall, 1919",Volvulella,,californica,, , , , , , , , ,HOLOTYPE,United States Fish Commission, ,,1889,1,7,7,7,1889-01-07T00:00:00, , ,USFC/A2902, , , , , , , , ,1, , ,Dry,United States,California, , ,"Channel Islands, Santa Cruz Channel, Santa Rosa Island", ,Santa Rosa,34.1,-120.033, ,0, , , , , , , , , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:f2e47828-ba6e-4baa-a4f2-f02c5da010f5,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2379491
2379050,Cal-IBIS,USNM,Invertebrate Zoology, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/3838da294-60ba-4617-bfae-c92eabdd31b7,211333, , , , , ,,Clathurellidae,,Crockerella lowei,147310,"(Dall, 1903)",Crockerella,,lowei,, , , , , , , , ,HOLOTYPE,United States Fish Commission, ,,1889,1,7,7,7,1889-01-07T00:00:00, , ,USFC/A2902, , , , , , , , ,1, , ,Dry,United States,California, , ,"Channel Islands, Santa Cruz Channel, Santa Rosa Island", ,Santa Rosa,34.1,-120.033, ,0, , , , , , , , , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:4774b3a9-8e89-4593-8bef-a8ea3cd3482a,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2379050
2378805,Cal-IBIS,USNM,Invertebrate Zoology, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,http://n2t.net/ark:/65665/3a86f3e5d-30ca-4796-9ad3-04657ab070eb,211334, , , , , ,,Clathurellidae,,Crockerella evadne,147309,"(Dall, 1919)",Crockerella,,evadne,, , , , , , , , ,HOLOTYPE,United States Fish Commission, ,,1889,1,7,7,7,1889-01-07T00:00:00, , ,USFC/A2902, , , , , , , , ,1, , ,Dry,United States,California, , ,"Channel Islands, Santa Cruz Channel, Santa Rosa Island", ,Santa Rosa,34.1,-120.033, ,0, , , , , , , , , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:610b48e0-c7c8-4dc2-9a84-9d69bfc0569e,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2378805
2380370,Cal-IBIS,UF,Invertebrate Zoology, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,DD3055A6-D84B-4357-8001-339BA3252C80,353445-Mollusca, ,Animalia,Mollusca,Gastropoda,Stylommatophora,Stylommatophora,Xanthonychidae,Xanthonychidae,Xerarionta kellettii,440323,"(Forbes, 1850)",Xerarionta,Xerarionta,kellettii,Xerarionta kellettii, , , , , , , , , ,"Hemphill, H.", ,,,,0,0,0, , , , , , , , , , , , ,0, , ,dry - 8,United States,California,Los Angeles County, ,Santa Catalina Island, ,Santa Catalina,33.38333,-118.4167, ,0, , , , , , , , , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:690605b4-da40-4fea-ab2a-756906e489bf,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2380370
2380366,Cal-IBIS,UF,Invertebrate Zoology, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,27D17336-5A52-4AD4-A079-047C631568CB,353442-Mollusca, ,Animalia,Mollusca,Gastropoda,Stylommatophora,Stylommatophora,Xanthonychidae,Xanthonychidae,Xerarionta kellettii,440323,"(Forbes, 1850)",Xerarionta,Xerarionta,kellettii,Xerarionta kellettii, , , , , , , , , ,"Hemphill, H.", ,,,,0,0,0, , , , , , , , , , , , ,0, , ,dry - 5,United States,California,Los Angeles County, ,Santa Catalina Island, ,Santa Catalina,33.38333,-118.4167, ,0, , , , , , , , , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:caaee2f0-cfd3-4d40-ba13-63b4d08ffc1c,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2380366
2380362,Cal-IBIS,UF,Invertebrate Zoology, ,76106e1d-e895-4ce9-b896-91520f33f3af,PRESERVED_SPECIMEN,FD5D1617-D7F3-4844-901E-9E286DB3E40F,353448-Mollusca, ,Animalia,Mollusca,Gastropoda,Stylommatophora,Stylommatophora,Xanthonychidae,Xanthonychidae,Xerarionta kellettii,440323,"(Forbes, 1850)",Xerarionta,Xerarionta,kellettii,Xerarionta kellettii, , , , , , , , , ,"Hemphill, H.", ,,,,0,0,0, , , , , , , , , , , , ,0, , ,dry - 20,United States,California,Los Angeles County, ,Santa Catalina Island, ,Santa Catalina,33.38333,-118.4167, ,0, , , , , , , , , , , , , , , ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:0ad4ff90-bdc3-43c3-bc5c-73c52524ea89,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2380362
