"","Institution Accession Number","Country","State","County","Island","Locality Detail","Collector(s)","Order","Family","Subfamily","Genus","Subgenus","Species","Subspecies","scientificName","original_date","month","day_arabic","year","TO Date Collected","day_messy","month_messy","Drawer","Survey","Sex","Collecting Remarks","Type","Curation Remarks","Stage","Elevation","acceptedFamily","acceptedGenus","acceptedName"
"1","LACM ENT 424496","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","16.viii.1939",8,16,1939,NA,"16","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","LACM ENT 424497","USA","CA","Santa Barbara","Santa Cruz",NA,"L.M. Martin","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","15.viii.1939",8,15,1939,NA,"15","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","LACM ENT 424498","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","14.viii.1939",8,14,1939,NA,"14","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","LACM ENT 424499","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","13.viii.1939",8,13,1939,NA,"13","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","LACM ENT 424500","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","16.viii.1939",8,16,1939,NA,"16","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","LACM ENT 424501","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","16.viii.1939",8,16,1939,NA,"16","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","LACM ENT 424502","USA","CA","Santa Barbara","Santa Cruz",NA,NA,"Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","14.viii.1939",8,14,1939,NA,"14","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","LACM ENT 424503","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","LACM ENT 424504","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","LACM ENT 424505","USA","CA","Los Angeles","Santa Catalina","Ben Weston Beach","CD Nagano, JN Hogue","Orthoptera","Tetrigidae",NA,"Paratettix",NA,"mexicanus",NA,"Paratettix mexicanus","8.viii.1980",8,8,1980,"10.viii.1980","8","viii","26P-04616","Channel Islands Survey",NA,NA,NA,NA,NA,NA,NA,NA,NA
