"","source","order.x","family","genus","specificEp","scientificName","yearpub","PUBL","year","month","ANA","BAR","CAT","CLE","CRU","MIG","NIC","ROS","order.y","acceptedFamily","acceptedGenus","acceptedName"
"143","lit","Orthoptera","Tettigoniidae","Neduba (Aglaothorax)","morsei santacruzae","Neduba (Aglaothorax) morsei santacruzae",1985,"Ent. Calif. Ch. Isls. Proc.",,,,,,,"x",,,,,,,
"144","lit","Orthoptera","Tettigoniidae","Neduba (Neduba)","propsti","Neduba (Neduba) propsti",1982,"Univ. Calif. Publ. Ent.",,,,,"x",,,,,,,"Tettigoniidae","Neduba","Neduba propsti"
"145","lit","Orthoptera","Tettigoniidae","Neduba (Neduba)","propsti","Neduba (Neduba) propsti",1985,"Ent. Calif. Ch. Isls. Proc.",,,,,"x",,,,,,,"Tettigoniidae","Neduba","Neduba propsti"
"146","lit","Orthoptera","Tettigoniidae","Platylyra","californica","Platylyra californica",1982,"Univ. Calif. Publ. Ent.",,,,,"x",,"x",,,,"Orthoptera","Tettigoniidae","Platylyra","Platylyra californica"
"147","lit","Orthoptera","Tettigoniidae","Scudderia","furcata","Scudderia furcata",1982,"Univ. Calif. Publ. Ent.",,,,,,,"x",,,,,"Phaneropteridae","Scudderia","Scudderia furcata"
"148","lit","Orthoptera","Tettigoniidae","Scudderia","mexicana","Scudderia mexicana",1892,"Zoe",1892,8,,,"x",,,,,,"Orthoptera","Tettigoniidae","Scudderia","Scudderia mexicana"
"149","lit","Orthoptera","Tettigoniidae","Scudderia","mexicana","Scudderia mexicana",1910,"Proc. Acad. Nat. Sci. Phil.",1907,8,,,"x",,,,,,"Orthoptera","Tettigoniidae","Scudderia","Scudderia mexicana"
"150","lit","Orthoptera","Tettigoniidae","Scudderia","mexicana","Scudderia mexicana",1982,"Univ. Calif. Publ. Ent.",,,"x",,"x",,"x",,,,"Orthoptera","Tettigoniidae","Scudderia","Scudderia mexicana"
"151","lit","Orthoptera","Tridactylidae","Ellipes","minutus","Ellipes minutus",1977,"Dtsch. Ent. Z., N.F.",,,,,"x",,,,,,,"Tridactylidae","Ellipes","Ellipes minuta"
"152","lit","Orthoptera","Tridactylidae","Ellipes","minutus","Ellipes minutus",1982,"Univ. Calif. Publ. Ent.",,,,,"x",,,,,,,"Tridactylidae","Ellipes","Ellipes minuta"
