record,order,family,acceptedFamily,genus,acceptedGenus,species,acceptedEpithet ,acceptedName,DESCRIBER,DESYR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,Anacapa,Santa Barbara,Santa Catalina,San Clemente
literature,Acari,Cheyletidae,Cheyletidae,Cheyletomorpha,Cheyletomorpha,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Cheyletidae,Cheyletidae,Eucheyletia,Eucheyletia,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Cheyletidae,Cheyletidae,Neoeucheyla,Neoeucheyla,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Cosmochthoniidae,Cosmochthoniidae,Cosmochthonius,Cosmochthonius,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Cryptognathidae,Cryptognathidae,Cryptognathus,Cryptognathus,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Ctenacaridae,Ctenacaridae,Beklemishivia,Beklemishevia,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Cunaxidae,Cunaxidae,Cunaxa,Cunaxa,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Cunaxidae,Cunaxidae,Cunaxoides,Cunaxoides,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Cunaxidae,Cunaxidae,Neocunaxoides,Neocunaxoides,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Damaeidae,Damaeidae,Epidamaeus,Epidamaeus,nr. longiseta,,Epidamaeus nr. longispinosus,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Dermanyssidae,Dermanyssidae,Dermanyssus,Dermanyssus,gallinae,,Dermanyssus gallinae,(DeGeer),1778,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,x,
literature,Acari,Dermanyssidae,Raillietiidae,Railleitia,Raillietia,caprae,,Raillietia caprae,Lavoipierre & Larsen,1981,,Lavoipierre & Larsen,1981,Calif. Vet.,35,23,-24,,,,,x
literature,Acari,Eremaeidae,Eremaeidae,Eremaeus,Eremaeus,stitkos,,Eremaeus stiktos,Higgins,1962,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Eremaeidae,Eremaeidae,Kartoeremaeus,Kartoeremaeus,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Eriophyidae,Eriophyidae,Aceria,Aceria,catalinae,,Aceria catalinae,Keifer,1962,,Keifer,1962,Eriophyid Studies,B-7,12,,,,,x,
literature,Acari,Erythraeidae,Erythraeidae,Leptus,Leptus,sp.,,,,,,Straughan,1982,"Tech. Rep., Allan Hancock, USC",6,378,,,,,x,
literature,Acari,Erythraeidae,Erythraeidae,Leptus,Leptus,sp.,,,,,,Straughan & Hadley,1980,The Calif. Isls.: Proc. Multi.,,392,,,,,x,
literature,Acari,Erythraeidae,Trombidiidae,Rhyncholophus,Microtrombidium,augustipes,,Microtrombidium augustipes,Banks,1907,as gracilipes SYN,Banks,1904,Proc. Calif. Acad. Sci. ser.3,3,365,,,,,,
literature,Acari,Erythraeidae,Trombidiidae,Rhyncholophus,Microtrombidium,augustipes,,Microtrombidium augustipes,Banks,1907,=gracilipes HOM,Banks,1907,Proc. U.S. Natl. Mus.,32,595,-625,,,,,
literature,Acari,Erythraeidae,Trombidiidae,Rhyncholophus,Microtrombidium,augustipes,,Microtrombidium augustipes,Banks,1907,as gracilipes SYN,"Cox, Jahraus & Moore",1921,Pom Coll. J. Ent. & Zool.,13,23,-37,,,,,
literature,Acari,Eupodidae,Eupodidae,Eupodes,Eupodes,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Galumnidae,Galumnidae,Galumna,Galumna,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,169,,,,,x,
literature,Acari,Glycyphagidae,Glycyphagidae,,,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Gymnodamaeidae,Gymnodamaeidae,Gymnodamaeus,Gymnodamaeus,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Gymnodamaeidae,Gymnodamaeidae,Joshuella,Joshuella,sp. (nr. striata),,Joshuella sp. (nr. striata),,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Halacaridae,Halacaridae,Agaue,Agaue,variabilis,,Agaue variabilis,Macquitty,1984,,Macquitty,1984,J. Nat. Hist.,18,527,-554,,,,,
literature,Acari,Halacaridae,Halacaridae,Agauopsis,Agauopsis,curvata,,Agauopsis curvata,Krantz,1973,,Macquitty,1984,J. Nat. Hist.,18,527,-554,,,,,
literature,Acari,Halacaridae,Halacaridae,Agauopsis,Agauopsis,filirostris,,Agauopsis filirostris,Macquitty,1983,,Macquitty,1983,Acarologia,24,59,-64,,,,,
literature,Acari,Halacaridae,Halacaridae,Agauopsis,Agauopsis,filirostris,,Agauopsis filirostris,Macquitty,1983,,Macquitty,1984,J. Nat. Hist.,18,527,-554,,,,,
literature,Acari,Halacaridae,Halacaridae,Copidognathus,Copidognathus,ilsebartschi,,Copidognathus ilsebartschi,Macquitty,1984,,Macquitty,1984,J. Nat. Hist.,18,527,-554,,,,,
literature,Acari,Halacaridae,Halacaridae,Copidognathus,Copidognathus,spinifer,,Copidognathus spinifer,Macquitty,1984,,Macquitty,1984,J. Nat. Hist.,18,527,-554,,,,x,x
literature,Acari,Halacaridae,Halacaridae,Halacarus,Halacarus,newelli,,Halacarus newelli,Macquitty,1984,,Macquitty,1984,J. Nat. Hist.,18,527,-554,,,,x,x
literature,Acari,Haplochthonidae,Haplochthoniidae,Haplochthonius,Haplochthonius,variabilis,,Haplochthonius variabilis,Wallwork,1972,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Haplozetidae,Haplozetidae,Peloribates,Peloribates,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Hermaniellidae,Hermaniellidae,Hermaniella,Hermaniella,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Ichthyostomatogaster,Ichthyostomatogasteridae,Asternolaelaps,Asternolaelaps,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,x,
literature,Acari,Ixodidae,Ixodidae,Dermacentor,Dermacentor,albipictus,,Dermacentor albipictus,(Packard),1869,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,33,,,,,x,
literature,Acari,Ixodidae,Ixodidae,Dermacentor,Dermacentor,albipictus,,Dermacentor albipictus,(Packard),1869,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,x,
literature,Acari,Ixodidae,Ixodidae,Dermacentor,Dermacentor,albipictus,,Dermacentor albipictus,(Packard),1869,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,30,,,,,x,
literature,Acari,Ixodidae,Ixodidae,Haemaphysalis,Haemaphysalis,leporispalustris,,Haemaphysalis leporispalustris,(Packard),1869,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,46,,,x,,,
literature,Acari,Ixodidae,Ixodidae,Haemaphysalis,Haemaphysalis,leporispalustris,,Haemaphysalis leporispalustris,(Packard),1869,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,45,,,x,x,,
literature,Acari,Ixodidae,Ixodidae,Haemaphysalis,Haemaphysalis,leporispalustris,,Haemaphysalis leporispalustris,(Packard),1869,,Lane et al.,1983,Pan-Pac. Ent.,58,96,-104,,,x,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,brunneus,,Ixodes brunneus,Koch,1844,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,55,,,,,x,x
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,brunneus,,Ixodes brunneus,Koch,1844,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,54,,,x,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,brunneus,,Ixodes brunneus,Koch,1844,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,x,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,murreleti,,Ixodes murreleti,Cooley & Kohls,1945,,Cooley & Kohls,1945,Nat. Inst. Health Bull.,184,1,-246,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,Lane et al.,1983,Pan-Pac. Ent.,58,96,-104,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,Cooley & Kohls,1945,Nat. Inst. Health Bull.,184,1,-246,,,,x,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,x,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,"Bennett, S. et al.",1989,Bull. Soc. Vector Ecol.,14(2),262,-265,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,63,,,,x,x,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,peromysci,,Ixodes peromysci,Augustson,1939,,Cooley & Kohls,1945,Nat. Inst. Health Bull.,184,1,-246,,,x,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,peromysci,,Ixodes peromysci,Augustson,1939,,Keirans & Clifford,1978,J. Med. Ent. Suppl.,2,107,,,,x,,x
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,peromysci,,Ixodes peromysci,Augustson,1939,,Lane et al.,1983,Pan-Pac. Ent.,58,96,-104,,x,x,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,peromysci,,Ixodes peromysci,Augustson,1939,,Augustson,1940,Bull. S. Calif. Acad. Sci.,38,141,-147,,,x,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,peromysci,,Ixodes peromysci,Augustson,1939,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,64,,,x,x,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,peromysci,,Ixodes peromysci,Augustson,1939,,"Fellers, G. & Drost, C.",1991,Herp. Monographs,5,61,,,,x,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,peromysci,,Ixodes peromysci,Augustson,1939,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,61,,,x,x,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,rugosus,,Ixodes rugosus,Bishopp,1911,,Lane et al.,1983,Pan-Pac. Ent.,58,96,-104,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,rugosus,,Ixodes rugosus,Bishopp,1911,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,65,,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,rugosus,,Ixodes rugosus,Bishopp,1911,,"Bennett, S. et al.",1989,Bull. Soc. Vector Ecol.,14(2),262,-265,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,rugosus,,Ixodes rugosus,Bishopp,1911,,"Bennett, S. et al.",1989,Bull. Soc. Vector Ecol.,14(2),262,-265,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,rugosus,,Ixodes rugosus,Bishopp,1911,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,68,,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,sculptus,,Ixodes sculptus,Neumann,1904,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,68,,,,x,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,signatus,,Ixodes signatus,Birula,1895,,Schwan & Kelly,1981,J. Med. Ent.,18,171,-172,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,signatus,,Ixodes signatus,Birula,1895,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,71,,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes,Ixodes,signatus,,Ixodes signatus,Birula,1895,,Furman & Loomis,1985,Bull. Calif. Insect Surv.,25,68,,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Ixodes),Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,91,,,,,x,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Ixodes),Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,91,,,,,x,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Ixodes),Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,92,,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Ixodes),Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,91,,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Ixodes),Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,91,,,,,x,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Ixodes),Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,91,,,,,x,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Ixodes),Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,92,,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Ixodes),Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,91,,,,,x,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Ixodes),Ixodes,pacificus,,Ixodes pacificus,Cooley & Kohls,1943,,Arthur & Snow,1968,Parasitology,58,901,",902",,,,x,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Ixodes),Ixodes,peromysci,,Ixodes peromysci,Augustson,1939,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,92,,,,x,,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Ixodes),Ixodes,peromysci,,Ixodes peromysci,Augustson,1939,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,93,,,x,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Ixodes),Ixodes,peromysci,,Ixodes peromysci,Augustson,1939,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,93,,,,x,,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Ixodes),Ixodes,peromysci,,Ixodes peromysci,Augustson,1939,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,92,,,x,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Pholeoixodes),Ixodes,rugosus,,Ixodes rugosus,Bishopp,1911,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,94,,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Pholeoixodes),Ixodes,rugosus,,Ixodes rugosus,Bishopp,1911,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,93,,,,,,
literature,Acari,Ixodidae,Ixodidae,Ixodes (Scaphixodes),Ixodes,sinatus,,Ixodes signatus,Birula,1895,,"Webb, Bennett, & Challet",1990,Bull. Soc. Vector Ecol.,15,97,,,,,,
literature,Acari,Labidostommatidae,Labidostommatidae,Labidostomma,Labidostomma,sp. (nr. plumosum),,Labidostommatidae (nr. plumosum),,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Laelapidae,Laelapidae,Gymnolaelaps,Gymnolaelaps,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Laelapidae,Laelapidae,undetermined,,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Liacaridae,Liacaridae,Liacarus,Liacarus,sp. nr. bidentatus,,Liacarus nr. bidentatus,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Licnodamaeidae,Licnodamaeidae,Licnodamaeus,Licnodamaeus,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Macronyssidae,Macronyssidae,Ophionyssus,Ophionyssus,natricis,,Ophionyssus natricis,(Gervais),1844,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,x,
literature,Acari,Macronyssidae,Macronyssidae,Ornithonyssus,Ornithonyssus,bacoti,,Ornithonyssus bacoti,(Hirst),1913,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,x,
literature,Acari,Macronyssidae,Macronyssidae,Ornithonyssus,Ornithonyssus,sylviarum,,Ornithonyssus sylviarum,(Canestrini & Fanzag,1877,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,x,
literature,Acari,Macronyssidae,Macronyssidae,Pellonyssus,Pellonyssus,passeri,,Pellonyssus passeri,Clark & Yunker,1956,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,x,
literature,Acari,Metrioppiidae,Peloppiidae,undetermined,,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Mycobatidae,Punctoribatidae,Zatvatkinobates,Zachvatkinbates ,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Myobiidae,Myobiidae,Pteracarus,Pteracarus,sp. (nr.) chalinolobus,,Pteracarus (nr.) chalinolobus,Womersley,1941,,Bennett,1988,Bull. Soc. Vector Ecol.,12,534,-538,,,,x,
literature,Acari,Nanorchestidae,Nanorchestidae,Nanorchestes,Nanorchestes,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Ologamasidae,Ologamasidae,Acugamasus,Acugamasus,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,x,
literature,Acari,Ologamasidae,Ologamasidae,Gamasellus,Gamasellus,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,166,,,,,x,
literature,Acari,Oppiidae,Oppiidae,Oppiella,Oppiella,2 spp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Oribatulidae,Oribatulidae,Phauloppia,Phauloppia,sp.,,,,,as Phaulopia,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Parasitidae,Parasitidae,Poecilochirus,Laelaps,pilosula,,Laelaps pilosula,(Banks),1904,as Laelaps,Banks,1904,Proc. Calif. Acad. Sci. ser.3,3,368,,,,,,
literature,Acari,Parasitidae,Parasitidae,Poecilochirus,Laelaps,pilosula,,Laelaps pilosula,(Banks),1904,as Laelaps,"Cox, Jahraus & Moore",1921,Pom Coll. J. Ent. & Zool.,13,23,-37,,,,,
literature,Acari,Parasitidae,Parasitidae,Poecilochirus,Laelaps,pilosula,,Laelaps pilosula,(Banks),1904,,Johnston,1985,Ent. Calif. Ch. Isl.,,25,,,,,,
literature,Acari,Paratydeidae,Paratydeidae,undetermined,,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Parholaspididae,Parholaspididae,undetermined,,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Phenopelopidae,Phenopelopidae,Propelops,Propelops,canadensis/rossica grp.,,Propelops canadensis/rossica grp.,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,169,,,,,x,
literature,Acari,Phenopelopidae,Phenopelopidae,Propelops,Propelops,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,169,,,,,x,
literature,Acari,Phthiracaridae,Phthiracaridae,Phthiracarus,Phthiracarus,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Phytoseiidae,Phytoseiidae,Chelaseius,Chelaseius,floridanus,,Chelaseius floridanus,(Muma),1955,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Phytoseiidae,Phytoseiidae,Chelaseius,Chelaseius,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Protoplaphoridae,Protoplophoridae,undetermined,,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Psoroptidae,Psoroptidae,undetermined,,sp.,,,,,,Pfaffman,1932,"Mon. Bull., Calif. Dept. Agri.",20,540,-542,,,,,x
literature,Acari,Rhagidiidae,Rhagidiidae,Coccorhagidia,Coccorhagidia,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
literature,Acari,Scheloribatidae,Scheloribatidae,Scheloribates,Scheloribates,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,168,,,,,x,
literature,Acari,Scutacaridae,Scutacaridae,undetermined,,sp.,,,,,,"Bennett, S.",1993,Third Calif. Is. Symp.,,167,,,,,x,
