record,order,family,acceptedFamily,genus,acceptedGenus,species,acceptedEpithet ,acceptedName,DESCRIBER,DESYR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,Anacapa,Santa Barbara,Santa Catalina,San Clemente,,Santa Cruz,San Miguel,San Nicholas,Santa Rosa,NO,SO,COR,GUA,MONTH,year,NOSPEC,ECOLOGY,NOTES,,
Literature,Lepidoptera,Arctiidae,Erebidae,Grammia,Grammia,nevadensis,nevadensis,Grammia nevadensis,(Grote & Robinson),1866,as Apantesis,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,82,,,,,,x,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Grammia,Grammia,nevadensis complex,nevadensis,Grammia nevadensis,(Grote & Robinson),1866,as Apantesis,Meadows,1938,Bull. S. Calif. Acad. Sci.,37,135,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Grammia,Grammia,spp.,,,,,,Ferguson,1985,Ent.,3,181,-275,,,,,,,,,,,,,,,0,,,,Channel Islands,,
Literature,Lepidoptera,Arctiidae,Erebidae,Hemihyalea,Pseudohemihyalea,edwardsii,edwardsii,Pseudohemihyalea edwardsii,(Packard),1864,,Cockerell,1938,Univ. Colorado Stud.,26,16,,,,,x,,,,,,,,,,,0,,,,new mutation,,
Literature,Lepidoptera,Arctiidae,Erebidae,Hemihyalea,Pseudohemihyalea,edwardsii,edwardsii,Pseudohemihyalea edwardsii,(Packard),1864,as edwardsii var. ochrous SYN,Meadows,1938,Bull. S. Calif. Acad. Sci.,37,133,-136,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Hemihyalea,Pseudohemihyalea,edwardsii,edwardsii,Pseudohemihyalea edwardsii,(Packard),1864,,Meadows,1938,Bull. S. Calif. Acad. Sci.,37,134,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Hemihyalea,Pseudohemihyalea,edwardsii,edwardsii,Pseudohemihyalea edwardsii,(Packard),1864,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,82,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Lophocampa,Lophocampa,indistincta,indistincta,Lophocampa indistincta,(Barnes & McDunnough,1910,as Halisidota,Barnes & McDunnough,1910,Can. Ent.,42,208,-213,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Lophocampa,Lophocampa,indistincta,indistincta,Lophocampa indistincta,(Barnes & McDunnough,1910,as Halisidota,Barnes & McDunnough,1912,Cont. Nat. Hist. Lep. N. Amer.,1,1,-57,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Lophocampa,Lophocampa,indistincta,indistincta,Lophocampa indistincta,(Barnes & McDunnough,1910,as JRSYN of H. bicolor MISID,Hampson,1920,Brit. Mus. Nat. Hist. London,,1,-619,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Lophocampa,Lophocampa,indistincta,indistincta,Lophocampa indistincta,(Barnes & McDunnough,1927,as Halisidota,Barnes & Benjamin,1927,Pan-Pac. Ent.,4,87,-89,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Lophocampa,Lophocampa,indistincta,indistincta,Lophocampa indistincta,(Barnes & McDunnough,1910,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,78,-81,,x,,x,,,x,,,?,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Notarctia,Notarctia,proxima,proxima,Notarctia proxima,(Guerin-Meneville),1844,as Apantesis,Meadows,1938,Bull. S. Calif. Acad. Sci.,37,135,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Notarctia,Notarctia,proxima,proxima,Notarctia proxima,(Guerin-Meneville),1844,as Apantesis,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,81,,,,,,,,x,,x,,,,,,0,,,,,,
Literature,Lepidoptera,Arctiidae,Erebidae,Spilosoma,Spilosoma,sp.,,,,,,Howard,1889,Proc. U. S. Nat. Mus.,12,185,-216,,,,,x,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Blastobasidae,Blastobasidae,Holcocera,Holocera,phenacocci,iceryaeella,Holocera iceryaeella,Braun,1927,,Braun,1927,Ent. News,38,118,,,,,x,,,,,,,,,,,0,,,,predaceous on Phenacoccus cole,,
Literature,Lepidoptera,Blastobasidae,Blastobasidae,Holcocera,Holocera,phenacocci,iceryaeella,Holocera iceryaeella,Braun,1927,,Cockerell,1938,Univ. Colorado Stud.,26,16,,,,,x,,,,,,,,,,,0,,,found at Avalon,,,
Literature,Lepidoptera,Blastobasidae,Blastobasidae,Holcocera,Holocera,phenacocci,iceryaeella,Holocera iceryaeella,Braun,1927,,Powell,1985,Ent. Calif. Ch. Isls. Proc.,,78,,,,,x,,,,,,,,,,,0,,,,,,
Literature,Lepidoptera,Copromorphidae,Copromorphidae,Lotisma,Lotisma,trigonana trigonana,trigonana,Lotisma trigonana,(Walsingham),1879,,Heppner,1986,Pan-Pac. Ent.,62,273,-288,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Cosmopterigidae,Cosmopterigidae,Stilbosis,Stilbosis,dulcedo,dulcedo,Stilbosis dulcedo,(Hodges),1964,as Aeaea,Opler,1974,Univ. Calif. Publ. Ent.,75,64,,,,,,,,x,,,,,,,,0,,,,,,
Literature,Lepidoptera,Cossidae,Cossidae,Givira,Givira,marga,marga,Givira marga,Barnes & McDunnough,1910,,Barnes & McDunnough,1910,Cont. Nat. Hist. Lep. N. Amer.,1,18,,,,,x,,,,,,,,,,,0,,,,redescription,,
