source,id,institutio,collection,ownerInsti,collecti_1,basisOfRec,occurrence,catalogNum,otherCatal,kingdom,phylum,class,order_,family,acceptedFamily,scientific,acceptedName,taxonID,scientif_1,genus,acceptedGenus,specificEp,taxonRank,infraspeci,identified,dateIdenti,identifica,identifi_1,taxonRemar,identifi_2,typeStatus,recordedBy,recordNumb,eventDate,year,month,day,startDayOf,endDayOfYe,verbatimEv,occurren_1,habitat,fieldNumbe,informatio,dataGenera,dynamicPro,associated,reproducti,establishm,lifeStage,sex,individual,samplingPr,samplingEf,preparatio,country,stateProvi,county,municipali,island,locality,ArcMap_IslandNames,locationRe,decimalLat,decimalLon,geodeticDa,coordinate,verbatimCo,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,minimumEle,maximumEle,minimumDep,maximumDep,verbatimDe,verbatimEl,dispositio,language,recordEnte,modified,rights,rightsHold,accessRigh,recordId,references
Cal-IBIS,1564826,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:2187fbf8-83f4-48bb-a343-1fbdc7f795fb,YPM ENT 576977, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Estigmene acrea,Estigmene acrea,174450,"(Drury, 1773)",Estigmene,Estigmene,acrea, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Eric E. Remington, ,3/1/70,1970,3,1,60,0,3/1/70,ENT number 576977; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.75167,34.06389"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, University of California Research Station, Canada del Medio",Santa Cruz, ,34.06389,-119.75167,WGS84,0, , ,digital resource,GEOLocate, ,"Confidence: Medium, Score: 62, String: g1Santa Cruz Island, automated process by N. Rios and L. Gall",0, , , , , , ,en, ,4/10/19 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:eb7b7027-9061-4cfb-b727-56c8a912b06d,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1564826
Cal-IBIS,1564831,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:2876b265-8b86-4a83-a100-871f092dcb34,YPM ENT 577573, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Estigmene acrea,Estigmene acrea,174450,"(Drury, 1773)",Estigmene,Estigmene,acrea, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Eric E. Remington, ,3/10/70,1970,3,10,69,0,3/10/70,ENT number 577573; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.75167,34.06389"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, University of California Research Station, Canada del Medio",Santa Cruz, ,34.06389,-119.75167,WGS84,0, , ,digital resource,GEOLocate, ,"Confidence: Medium, Score: 62, String: g1Santa Cruz Island, automated process by N. Rios and L. Gall",0, , , , , , ,en, ,4/10/19 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:4a2d3122-c71a-4b73-83cc-2a55cc99db41,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1564831
Cal-IBIS,1564536,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:2b39f9ad-ab54-43c8-850d-f044dbc91d4a,YPM ENT 443495, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Estigmene acrea,Estigmene acrea,174450,"(Drury, 1773)",Estigmene,Estigmene,acrea, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Eric E. Remington, ,3/24/70,1970,3,24,83,0,3/24/70,ENT number 443495; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.75167,34.06389"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, University of California Research Station, Canada del Medio",Santa Cruz, ,34.06389,-119.75167,WGS84,0, , ,digital resource,GEOLocate, ,"Confidence: Medium, Score: 62, String: g1Santa Cruz Island, automated process by N. Rios and L. Gall",0, , , , , , ,en, ,4/10/19 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:01c371b2-6953-48eb-91ae-c8f28c8d89fa,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1564536
Cal-IBIS,1564832,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:2fbc7403-ee4c-453e-b041-199ba74e689b,YPM ENT 576904, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Estigmene acrea,Estigmene acrea,174450,"(Drury, 1773)",Estigmene,Estigmene,acrea, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Eric E. Remington, ,3/3/70,1970,3,3,62,0,3/3/70,ENT number 576904; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.75167,34.06389"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, University of California Research Station, Canada del Medio",Santa Cruz, ,34.06389,-119.75167,WGS84,0, , ,digital resource,GEOLocate, ,"Confidence: Medium, Score: 62, String: g1Santa Cruz Island, automated process by N. Rios and L. Gall",0, , , , , , ,en, ,4/10/19 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:edce7fca-0e46-4fef-94de-26a5557f9280,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1564832
Cal-IBIS,1564512,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:336d2c8e-30db-4793-9dff-15c5844facea,YPM ENT 443478, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Estigmene acrea,Estigmene acrea,174450,"(Drury, 1773)",Estigmene,Estigmene,acrea, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Eric E. Remington, ,3/3/70,1970,3,3,62,0,3/3/70,ENT number 443478; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.75167,34.06389"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, University of California Research Station, Canada del Medio",Santa Cruz, ,34.06389,-119.75167,WGS84,0, , ,digital resource,GEOLocate, ,"Confidence: Medium, Score: 62, String: g1Santa Cruz Island, automated process by N. Rios and L. Gall",0, , , , , , ,en, ,4/10/19 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:31042cdc-6244-497f-85bf-9d23695038db,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1564512
Cal-IBIS,1564835,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:37150ece-44b1-4c7d-bc2e-eeaffa12e594,YPM ENT 576738, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Estigmene acrea,Estigmene acrea,174450,"(Drury, 1773)",Estigmene,Estigmene,acrea, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Eric E. Remington, ,3/9/70,1970,3,9,68,0,3/9/70,ENT number 576738; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.75167,34.06389"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, University of California Research Station, Canada del Medio",Santa Cruz, ,34.06389,-119.75167,WGS84,0, , ,digital resource,GEOLocate, ,"Confidence: Medium, Score: 62, String: g1Santa Cruz Island, automated process by N. Rios and L. Gall",0, , , , , , ,en, ,4/10/19 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:2ce5cdb2-072b-4613-b978-20d86d32e810,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1564835
Cal-IBIS,1564837,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:38f888ea-0a77-47c6-8a7e-a2c1e3f1f5c0,YPM ENT 577575, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Estigmene acrea,Estigmene acrea,174450,"(Drury, 1773)",Estigmene,Estigmene,acrea, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Eric E. Remington, ,3/8/70,1970,3,8,67,0,3/8/70,ENT number 577575; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.75167,34.06389"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, University of California Research Station, Canada del Medio",Santa Cruz, ,34.06389,-119.75167,WGS84,0, , ,digital resource,GEOLocate, ,"Confidence: Medium, Score: 62, String: g1Santa Cruz Island, automated process by N. Rios and L. Gall",0, , , , , , ,en, ,4/10/19 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:e32e5451-6512-4e59-b236-e4deb79d71cc,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1564837
Cal-IBIS,1564840,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:39dbab52-e6dd-478b-9f68-706174764186,YPM ENT 576054, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Estigmene acrea,Estigmene acrea,174450,"(Drury, 1773)",Estigmene,Estigmene,acrea, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Eric E. Remington, ,3/6/70,1970,3,6,65,0,3/6/70,ENT number 576054; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.75167,34.06389"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, University of California Research Station, Canada del Medio",Santa Cruz, ,34.06389,-119.75167,WGS84,0, , ,digital resource,GEOLocate, ,"Confidence: Medium, Score: 62, String: g1Santa Cruz Island, automated process by N. Rios and L. Gall",0, , , , , , ,en, ,4/10/19 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:66ee0540-9bc6-4725-adc1-7f80d69f3ae9,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1564840
Cal-IBIS,1564578,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:3b623071-1e4d-44dc-b0de-ac1048fd94f6,YPM ENT 443483, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Estigmene acrea,Estigmene acrea,174450,"(Drury, 1773)",Estigmene,Estigmene,acrea, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Eric E. Remington, ,3/9/70,1970,3,9,68,0,3/9/70,ENT number 443483; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.75167,34.06389"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, University of California Research Station, Canada del Medio",Santa Cruz, ,34.06389,-119.75167,WGS84,0, , ,digital resource,GEOLocate, ,"Confidence: Medium, Score: 62, String: g1Santa Cruz Island, automated process by N. Rios and L. Gall",0, , , , , , ,en, ,4/10/19 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:fe2c0de9-79cc-4aa1-8564-fefc24384d1d,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1564578
Cal-IBIS,1564580,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:3bd7ada8-e85c-4f61-b3ed-ee13f7914776,YPM ENT 756085, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Estigmene acrea,Estigmene acrea,174450,"(Drury, 1773)",Estigmene,Estigmene,acrea, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Eric E. Remington, ,3/17/70,1970,3,17,76,0,3/17/70,ENT number 756085; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.75167,34.06389"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, University of California Research Station, Canada del Medio",Santa Cruz, ,34.06389,-119.75167,WGS84,0, , ,digital resource,GEOLocate, ,"Confidence: Medium, Score: 62, String: g1Santa Cruz Island, automated process by N. Rios and L. Gall",0, , , , , , ,en, ,1/29/19 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:d1f4d91e-1787-4847-9653-b3dd2c66deca,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1564580
