source,id,institutio,collection,ownerInsti,collecti_1,basisOfRec,occurrence,catalogNum,otherCatal,kingdom,phylum,class,order_,family,acceptedFamily,scientific,acceptedName,taxonID,scientif_1,genus,acceptedGenus,specificEp,taxonRank,infraspeci,identified,dateIdenti,identifica,identifi_1,taxonRemar,identifi_2,typeStatus,recordedBy,recordNumb,eventDate,year,month,day,startDayOf,endDayOfYe,verbatimEv,occurren_1,habitat,fieldNumbe,informatio,dataGenera,dynamicPro,associated,reproducti,establishm,lifeStage,sex,individual,samplingPr,samplingEf,preparatio,country,stateProvi,county,municipali,island,locality,ArcMap_IslandNames,locationRe,decimalLat,decimalLon,geodeticDa,coordinate,verbatimCo,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,minimumEle,maximumEle,minimumDep,maximumDep,verbatimDe,verbatimEl,dispositio,language,recordEnte,modified,rights,rightsHold,accessRigh,recordId,references
Cal-IBIS,1554554,ASU,ASUHIC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,5877d433-b56d-4f12-b377-bb9dd5da305f,ASUHIC0023298, , , , , , ,,Gelechioidea,,16981,"Stainton, 1854", ,, , , ,R. Leuschner,1989, , , , , ,Collector unknown, ,7/25/64,1964,7,25,207,0,7/25/64, , , , , , , , , , , ,0, , , ,United States,California,Santa Barbara County, ,Anacapa,"Frenchy's Cove, West Anacapa Island",Anacapa, ,34.01096,-119.434006,WGS84,50, ,Catherine Mercado, ,Google Earth,requires verification, ,0, , , , , , , ,camercad,8/11/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:1c392160-3efc-482b-8c63-10228b67326a,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1554554
Cal-IBIS,1568465,SBMNH,SBMNHENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,380b78fe-d7c4-4f4b-99c9-bd3a681a5c8e,SBMNHENT0116452, ,Animalia,Arthropoda,Insecta,Lepidoptera, ,,Lepidoptera,,16681,"Linnaeus, 1758", ,, , , , , , , , , , ,Richard L. Doutt, ,9/22/92,1992,9,22,266,0,"gall 22-IX-92, em 12-II-93", , , , , , ,Quercus macdonaldii, , ,adult, ,1, , ,pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.016667,-119.716667,WGS84,20653, , , ,GeoLocate, , ,0, , , , , , , ,entan,1/9/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:588de6a8-82d8-4463-9cc0-1140f06ea49c,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568465
Cal-IBIS,1574831,UCSB,IZC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,9c8b67b5-25bf-45b0-acdf-8fcd43fe836b,UCSB-IZC00032808, ,Animalia,Arthropoda,Insecta,Lepidoptera, ,,Lepidoptera,,16681,"Linnaeus, 1758", ,, , , , , , , , , , ,Chaz, ,3/30/89,1989,3,30,89,0,30-Mar-89,blu light, , , , , , , , ,Adult, ,1, , ,pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,33.998239,-119.725508,WGS84,20600, ,entan (2019-09-19 15:25:08), ,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence, ,0, , , , , , , ,SandyCui,2/7/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:a279e5f3-f4e8-448b-b397-189bbdcaa701,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574831
Cal-IBIS,1568464,SBMNH,SBMNHENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,a6c6565b-19c1-4a40-86f8-fe4dd64e258d,SBMNHENT0116451, ,Animalia,Arthropoda,Insecta,Lepidoptera, ,,Lepidoptera,,16681,"Linnaeus, 1758", ,, , , , , , , , , , ,Richard L. Doutt, ,9/22/92,1992,9,22,266,0,"gall 22-IX-92, em 12-II-93", , , , , , ,Quercus macdonaldii, , ,adult, ,1, , ,pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.016667,-119.716667,WGS84,20653, , , ,GeoLocate, , ,0, , , , , , , ,entan,1/9/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:a4e55ddd-78b2-4798-b62a-df1e76b9418d,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568464
Cal-IBIS,1568383,SBMNH,SBMNHENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,ba0db5d2-fcbe-438f-87da-d6c5f7d919ef,SBMNHENT0115680, ,Animalia,Arthropoda,Insecta,Lepidoptera, ,,Lepidoptera,,16681,"Linnaeus, 1758", ,, , , , , , , , , , ,Richard L. Doutt, ,9/21/92,1992,9,21,265,0,21-IX-1992,moth associated with gall, , , , , ,Quercus dumosa, , ,adult, ,1, , ,pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.016667,-119.716667,WGS84,20653, , , ,GeoLocate, , ,0, , , , , , , ,entan,1/9/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:a136e6e1-e2eb-4a53-a6f1-449309d75f70,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568383
Cal-IBIS,1574833,UCSB,IZC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,e046d9c9-e689-4278-8ee4-82ce317e6ff0,UCSB-IZC00032094, ,Animalia,Arthropoda,Insecta,Lepidoptera, ,,Lepidoptera,,16681,"Linnaeus, 1758", ,, , , , , , , , , , ,Chaz, ,3/30/89,1989,3,30,89,0,30-Mar-89,Blu light, , , , , , , , ,Adult, ,1, , ,pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,33.998239,-119.725508,WGS84,20600, ,entan (2019-09-19 15:25:08), ,georef batch tool 2019-09-19; GeoLocate,reviewed - high confidence, ,0, , , , , , , ,SandyCui,2/7/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:ec84b313-eec2-4b5a-a97c-970e0eb9d097,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574833
Cal-IBIS,1568466,SBMNH,SBMNHENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,e6f8e069-f27f-42a0-8965-6f8739bceea6,SBMNHENT0116453, ,Animalia,Arthropoda,Insecta,Lepidoptera, ,,Lepidoptera,,16681,"Linnaeus, 1758", ,, , , , , , , , , , ,Richard L. Doutt, ,9/22/92,1992,9,22,266,0,"gall 22-IX-92, em 12-II-93", , , , , , ,Quercus macdonaldii, , ,adult, ,1, , ,pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.016667,-119.716667,WGS84,20653, , , ,GeoLocate, , ,0, , , , , , , ,entan,1/9/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:72c75e47-3b10-4a9e-b2b8-51892b87216c,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1568466
Cal-IBIS,2077733,GBIF,ARTH, ,8057914d-70e4-4cc3-842d-dbbdebde837d,MATERIAL_SAMPLE,http://bins.boldsystems.org/index.php/Public_RecordView?processid=LNAUT246-14,USNM ENT 00907692, ,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Erebidae,Crambidia suffusa,Crambidia suffusa,146043,"Barnes and McDunnough, 1912",Crambidia,Crambidia,suffusa, , , , , , , , , ,D.Meadows, ,10/18/31,1931,10,18,291,0,1931-10-18T00:00:00,Smithsonian Institution National Museum of Natural History, , , , , , , , , , ,0, , ,Tissue,United States,California, , ,Santa Catalina,"Los Angeles County, Santa Catalina Island, Avalon",Santa Catalina, ,33.3379,-118.33, ,0, , , ,Google Earth, , ,0, , , , , , ,en, ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:d14ef390-11e0-4a46-8e44-2bdb83adcdcc,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2077733
Cal-IBIS,1561284,SDNHM,SDMC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,7b974351-f445-482a-b787-d738d9c3fca0,SDNHM123771, ,Animalia,Arthropoda,Insecta,Lepidoptera,Blastobasidae,Blastobasidae,Blastobasidae,,917958,"Meyrick, 1894", ,, , , , , , , , , , ,Faulkner, ,4/10/81,1981,4,10,100,0,10-Apr-81, , , , , , , , , ,Adult, ,0, , ,Pinned,United States,California,Los Angeles, ,San Clemente,"San Clemente Island, Wilson Cove",San Clemente, ,33.006852,-118.559746, ,1000, ,cmojica (2020-06-09 18:34:14), ,georef batch tool 2020-06-09; GeoLocate,reviewed - high confidence,Marker placed at cove center on shore. Uncertainty extends a 1000 m radius to include all cove area and immediate shoreline.,0, , , , , , , ,cmojica,6/9/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:3f637040-608a-4ea6-95ec-e36332239632,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1561284
Cal-IBIS,1575133,UCSB,IZC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,07003aa7-139d-4763-a7a7-3a0090a42905,UCSB-IZC00006089, ,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Crambidae,Pyraustinae,,38551, , ,, , , ,Pamela Horsley,2018, , , , , , , ,1974-05-00,1974,5,0,0,0,May-74, , , , , , , , , , , ,1, , ,Pinned,United States,California,Santa Barbara, ,Santa Cruz,Santa Cruz Island,Santa Cruz, ,34.008126,-119.724201,WGS84,20754, ,rbehm (2018-09-17 15:29:17), ,georef batch tool 2018-09-17; GeoLocate,reviewed - high confidence, ,0, , , , , , , ,phorsley,2/7/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:dbccf466-f6c9-4c77-b879-305b714efec2,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1575133
Cal-IBIS,2077744,GBIF,ARTH, ,8057914d-70e4-4cc3-842d-dbbdebde837d,MATERIAL_SAMPLE,http://bins.boldsystems.org/index.php/Public_RecordView?processid=LNAUT124-14,USNM ENT 00907575, ,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , , , , ,D.Meadows, ,11/11/31,1931,11,11,315,0,1931-11-11T00:00:00,Smithsonian Institution National Museum of Natural History, , , , , , , , , ,FEMALE,0, , ,Tissue,United States,California, , ,Santa Catalina,"Los Angeles County, Santa Catalina Island, Avalon",Santa Catalina, ,33.3379,-118.33, ,0, , , ,Google Earth, , ,0, , , , , , ,en, ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:bb9253fa-b4e5-4744-8260-149980ae5817,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2077744
Cal-IBIS,2077739,GBIF,ARTH, ,8057914d-70e4-4cc3-842d-dbbdebde837d,MATERIAL_SAMPLE,http://bins.boldsystems.org/index.php/Public_RecordView?processid=LNAUT125-14,USNM ENT 00907576, ,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , , , , ,D.Meadows, ,10/1/31,1931,10,1,274,0,1931-10-01T00:00:00,Smithsonian Institution National Museum of Natural History, , , , , , , , , ,FEMALE,0, , ,Tissue,United States,California, , ,Santa Catalina,"Los Angeles County, Santa Catalina Island, Avalon",Santa Catalina, ,33.3379,-118.33, ,0, , , ,Google Earth, , ,0, , , , , , ,en, ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:ca2b9728-5f62-4ca9-9795-45b3604f39ab,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2077739
Cal-IBIS,2077741,GBIF,ARTH, ,8057914d-70e4-4cc3-842d-dbbdebde837d,MATERIAL_SAMPLE,http://bins.boldsystems.org/index.php/Public_RecordView?processid=LNAUT127-14,USNM ENT 00907578, ,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , , , , ,C.Henne, ,11/9/40,1940,11,9,314,0,1940-11-09T00:00:00,Smithsonian Institution National Museum of Natural History, , , , , , , , , , ,0, , ,Tissue,United States,California, , ,Anacapa,"Ventura County, Anacapa Island",Anacapa, ,34.0045,-119.394, ,0, , , ,Google Earth, , ,0, , , , , , ,en, ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:2ce72384-6383-49e0-84b9-06a6269a2d65,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2077741
Cal-IBIS,2077735,GBIF,ARTH, ,8057914d-70e4-4cc3-842d-dbbdebde837d,MATERIAL_SAMPLE,http://bins.boldsystems.org/index.php/Public_RecordView?processid=LNAUT126-14,USNM ENT 00907577, ,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , , , , ,C.Henne, ,11/19/40,1940,11,19,324,0,1940-11-19T00:00:00,Smithsonian Institution National Museum of Natural History, , , , , , , , , , ,0, , ,Tissue,United States,California, , ,Anacapa,"Ventura County, Anacapa Island",Anacapa, ,34.0045,-119.394, ,0, , , ,Google Earth, , ,0, , , , , , ,en, ,1/22/21 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:bfe4f720-6bfc-4a3f-a6f1-0c08bd71c076,http://www.cal-ibis.org:80/collections/individual/index.php?occid=2077735
Cal-IBIS,1555153,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:090126ff-5759-4f25-8194-59e7a7403d33,YPM ENT 577006, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Charles L. Remington, ,10/21/72,1972,10,21,295,0,1972-10-21/1972-10-24,ENT number 577006; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.713,34.401"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Barbara,"Santa Barbara, NW of Natural History Museum", , ,34.401,-119.713,WGS84,12349, , ,digital resource,USA TIGER 2014 Census, ,"Provisional ST CO PL match to: CA SANTA BARBARA SANTA BARBARA, LFG 22 Mar 2015, note TIGER shapefiles tended to yield larger radii than other sources",0, , , , , , ,en, ,2/3/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:00f91c56-697c-4322-a396-d0a3b3738aab,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555153
Cal-IBIS,1555156,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:493366ae-4a71-4c20-869f-b47c52e0175d,YPM ENT 577008, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Charles L. Remington, ,10/21/72,1972,10,21,295,0,1972-10-21/1972-10-24,ENT number 577008; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.713,34.401"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Barbara,"Santa Barbara, NW of Natural History Museum", , ,34.401,-119.713,WGS84,12349, , ,digital resource,USA TIGER 2014 Census, ,"Provisional ST CO PL match to: CA SANTA BARBARA SANTA BARBARA, LFG 22 Mar 2015, note TIGER shapefiles tended to yield larger radii than other sources",0, , , , , , ,en, ,2/3/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:3c7c8596-7d83-4a4a-83e1-b8f1c29f0fc5,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555156
Cal-IBIS,1555159,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:63ebdd12-4f03-4b82-a61e-6a4a7ec62a5e,YPM ENT 577003, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Charles L. Remington, ,10/21/72,1972,10,21,295,0,1972-10-21/1972-10-24,ENT number 577003; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.713,34.401"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Barbara,"Santa Barbara, NW of Natural History Museum", , ,34.401,-119.713,WGS84,12349, , ,digital resource,USA TIGER 2014 Census, ,"Provisional ST CO PL match to: CA SANTA BARBARA SANTA BARBARA, LFG 22 Mar 2015, note TIGER shapefiles tended to yield larger radii than other sources",0, , , , , , ,en, ,2/3/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:78706301-8938-4157-a538-3fba334459eb,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555159
Cal-IBIS,1555164,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:85a9406a-9f47-4909-9d22-57430da51cc5,YPM ENT 577007, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Charles L. Remington, ,10/21/72,1972,10,21,295,0,1972-10-21/1972-10-24,ENT number 577007; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.713,34.401"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Barbara,"Santa Barbara, NW of Natural History Museum", , ,34.401,-119.713,WGS84,12349, , ,digital resource,USA TIGER 2014 Census, ,"Provisional ST CO PL match to: CA SANTA BARBARA SANTA BARBARA, LFG 22 Mar 2015, note TIGER shapefiles tended to yield larger radii than other sources",0, , , , , , ,en, ,2/3/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:5d0f3d6f-f3bf-41b9-8e88-32d6ae67d5d8,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555164
Cal-IBIS,1555165,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:8c806ff0-8214-441d-984a-7e36f3b08f79,YPM ENT 577010, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Charles L. Remington, ,10/21/72,1972,10,21,295,0,1972-10-21/1972-10-24,ENT number 577010; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.713,34.401"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Barbara,"Santa Barbara, NW of Natural History Museum", , ,34.401,-119.713,WGS84,12349, , ,digital resource,USA TIGER 2014 Census, ,"Provisional ST CO PL match to: CA SANTA BARBARA SANTA BARBARA, LFG 22 Mar 2015, note TIGER shapefiles tended to yield larger radii than other sources",0, , , , , , ,en, ,2/3/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:32a89433-d1fa-45b2-99b3-b06eba9b5042,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555165
Cal-IBIS,1555169,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:954b3638-fb30-4f79-8854-6a67d7b834aa,YPM ENT 577340, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Charles L. Remington, ,11/15/72,1972,11,15,320,0,11/15/72,ENT number 577340; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.713,34.401"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Barbara,"Santa Barbara, NW of Natural History Museum", , ,34.401,-119.713,WGS84,12349, , ,digital resource,USA TIGER 2014 Census, ,"Provisional ST CO PL match to: CA SANTA BARBARA SANTA BARBARA, LFG 22 Mar 2015, note TIGER shapefiles tended to yield larger radii than other sources",0, , , , , , ,en, ,2/3/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:786a5419-2e4c-4562-bc28-9185b018bc41,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555169
Cal-IBIS,1555138,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:a1482a33-037c-4afc-9ab3-99ee0443a88b,YPM ENT 577005, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Charles L. Remington, ,10/21/72,1972,10,21,295,0,1972-10-21/1972-10-24,ENT number 577005; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.713,34.401"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Barbara,"Santa Barbara, NW of Natural History Museum", , ,34.401,-119.713,WGS84,12349, , ,digital resource,USA TIGER 2014 Census, ,"Provisional ST CO PL match to: CA SANTA BARBARA SANTA BARBARA, LFG 22 Mar 2015, note TIGER shapefiles tended to yield larger radii than other sources",0, , , , , , ,en, ,2/3/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:77047534-1a80-4695-856d-d5dc890fa2dc,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555138
Cal-IBIS,1555141,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:ba40384d-ac17-4ddc-9e86-3b15b1454aaa,YPM ENT 577009, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Charles L. Remington, ,10/21/72,1972,10,21,295,0,1972-10-21/1972-10-24,ENT number 577009; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.713,34.401"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Barbara,"Santa Barbara, NW of Natural History Museum", , ,34.401,-119.713,WGS84,12349, , ,digital resource,USA TIGER 2014 Census, ,"Provisional ST CO PL match to: CA SANTA BARBARA SANTA BARBARA, LFG 22 Mar 2015, note TIGER shapefiles tended to yield larger radii than other sources",0, , , , , , ,en, ,2/3/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:56c74334-83ca-44b7-9c85-7cca91840cdf,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555141
Cal-IBIS,1555143,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:cc0e3f05-92ed-48ec-aebd-4b10275dc8ca,YPM ENT 577341, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Charles L. Remington, ,11/15/72,1972,11,15,320,0,11/15/72,ENT number 577341; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.713,34.401"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Barbara,"Santa Barbara, NW of Natural History Museum", , ,34.401,-119.713,WGS84,12349, , ,digital resource,USA TIGER 2014 Census, ,"Provisional ST CO PL match to: CA SANTA BARBARA SANTA BARBARA, LFG 22 Mar 2015, note TIGER shapefiles tended to yield larger radii than other sources",0, , , , , , ,en, ,2/3/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:02b5127f-decb-4017-b802-7d02e783fedb,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555143
Cal-IBIS,1555126,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:d06060f3-efb5-4933-8303-2f0ae5e12d8c,YPM ENT 443367, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Charles L. Remington, ,10/21/72,1972,10,21,295,0,1972-10-21/1972-10-24,ENT number 443367; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.713,34.401"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Barbara,"Santa Barbara, NW of Natural History Museum", , ,34.401,-119.713,WGS84,12349, , ,digital resource,USA TIGER 2014 Census, ,"Provisional ST CO PL match to: CA SANTA BARBARA SANTA BARBARA, LFG 22 Mar 2015, note TIGER shapefiles tended to yield larger radii than other sources",0, , , , , , ,en, ,2/3/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:8ddd2215-cada-4b3c-b893-6dc8508f7a76,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555126
Cal-IBIS,1555144,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:d1cf3682-073b-4ee4-9fe4-62884fc86fe5,YPM ENT 577001, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Charles L. Remington, ,10/21/72,1972,10,21,295,0,1972-10-21/1972-10-24,ENT number 577001; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.713,34.401"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Barbara,"Santa Barbara, NW of Natural History Museum", , ,34.401,-119.713,WGS84,12349, , ,digital resource,USA TIGER 2014 Census, ,"Provisional ST CO PL match to: CA SANTA BARBARA SANTA BARBARA, LFG 22 Mar 2015, note TIGER shapefiles tended to yield larger radii than other sources",0, , , , , , ,en, ,2/3/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:913cbaa7-1918-4356-b92a-b43934b150c4,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555144
Cal-IBIS,1555147,YPM,ENT,YPM,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:uuid:e521568d-f011-497b-a5c4-97b198a504ba,YPM ENT 577004, ,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Erebidae,Arachnis picta,Arachnis picta,100973,"Packard, 1864",Arachnis,Arachnis,picta, , , , , , ,Animals and Plants: Invertebrates - Insects, , ,Charles L. Remington, ,10/21/72,1972,10,21,295,0,1972-10-21/1972-10-24,ENT number 577004; lot count 1, , , , ,"{ ""solr_long_lat"": ""-119.713,34.401"" }", , , , , ,1, , , ,United States,California,Santa Barbara County, ,Santa Barbara,"Santa Barbara, NW of Natural History Museum", , ,34.401,-119.713,WGS84,12349, , ,digital resource,USA TIGER 2014 Census, ,"Provisional ST CO PL match to: CA SANTA BARBARA SANTA BARBARA, LFG 22 Mar 2015, note TIGER shapefiles tended to yield larger radii than other sources",0, , , , , , ,en, ,2/3/20 0:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:0830c21d-318c-4225-8386-68e65cb1ccd0,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1555147
