id,source,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,acceptedOrder,family,acceptedFamily,scientificName,taxonID,scientificNameAuthorship,genus,acceptedGenus,specificEpithet,acceptedName,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,island,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
1556393,Cal-IBIS,CAS,ENT,,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,2cdc5065-d9f8-48f3-b760-e61eb8e5aa23,8382246,,Animalia,Arthropoda,Insecta,Blattodea,Blattodea,Blattidae,Blattidae,Periplaneta americana,353121,"(Linnaeus, 1758)",Periplaneta,Periplaneta,americana,Periplaneta americana,,,,,,,,,,,,3/24/30,1930,3,24,83,,3/24/30,,,,,,,,,,adult,,1,,,pinned,United States,California,Los Angeles,,Santa Catalina,"Santa Catalina Island, Avalon",,,,,,",",,,,,,,,,,,,,,Norman D. Penny,11/18/15 0:00,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:81e855af-7411-4481-a2f0-464b25fe08f8,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1556393
1574900,Cal-IBIS,UCSB,IZC,,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,ab4095fa-e2bb-43e3-990a-7dcb05d59150,UCSB-IZC00031114,,Animalia,Arthropoda,Insecta,Blattodea,Blattodea,Rhinotermitidae,Rhinotermitidae,Rhinotermitidae,22048,"Froggart, 1897",,,,,,,,,,,,,,"Denis; John, Karen, Mike, Rod",,6/23/77,1977,6,23,174,,6/23/77,,,,,,,,,,,,5,,,Pinned,United States,California,Santa Barbara,,Santa Cruz,"Santa Cruz Island, Coches Prietos Road",,33.980089,-119.721049,WGS84,1790,,entan (2019-12-20 11:43:32),,georef batch tool 2019-12-20; GeoLocate,reviewed - high confidence,,,,,,,,,,kristyle,2/7/20 9:42,http://creativecommons.org/publicdomain/zero/1.0/,,,urn:uuid:1dc1a30a-6e79-4d9f-98d3-732c5d0781ba,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1574900
