id,source,institutio,collection,ownerInsti,collecti_1,basisOfRec,occurrence,catalogNum,otherCatal,kingdom,phylum,class,order_,family,acceptedFamily,scientific,taxonID,scientif_1,genus,acceptedGenus,acceptedName,specificEp,taxonRank,infraspeci,identified,dateIdenti,identifica,identifi_1,taxonRemar,identifi_2,typeStatus,recordedBy,recordNumb,eventDate,year,month,day,startDayOf,endDayOfYe,verbatimEv,occurren_1,habitat,fieldNumbe,informatio,dataGenera,dynamicPro,associated,reproducti,establishm,lifeStage,sex,individual,samplingPr,samplingEf,preparatio,country,stateProvi,county,municipali,island,locality,ArcMap_IslandName,locationRe,decimalLat,decimalLon,geodeticDa,coordinate,verbatimCo,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,minimumEle,maximumEle,minimumDep,maximumDep,verbatimDe,verbatimEl,dispositio,language,recordEnte,modified,rights,rightsHold,accessRigh,recordId,references
1566165,Cal-IBIS,EMEC,EMEC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:catalog:EMEC:EMEC:1035828,EMEC1035828, ,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrionidae,Enallagma,40305,"Charpentier, 1840",Enallagma,Enallagma,, , , , , , , , ,0, ,Joan Ball, ,8/19/12 0:00,2012,8,19,232,0,8/19/12, , , , , , , , , ,adult, ,1, , ,envelope,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, Prisoners Harbor, Central Valley Canyon",Santa Cruz, ,34.00153,-119.71461,WGS1984,3, , , , , , ,0, , , , , , , , ,10/12/20 7:43,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:f58eebf6-79a2-49dd-b795-5eaaacb1ba90,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1566165
1566166,Cal-IBIS,EMEC,EMEC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:catalog:EMEC:EMEC:1035829,EMEC1035829, ,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrionidae,Enallagma annexum,169511,"(Hagen, 1861)",Enallagma,Enallagma,Enallagma annexum,annexum, , , , , , , ,0, ,Joan Ball, ,8/19/12 0:00,2012,8,19,232,0,8/19/12, , , , , , , , , ,adult, ,1, , ,envelope,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, Prisoners Harbor, Central Valley Canyon",Santa Cruz, ,34.00153,-119.71461,WGS1984,3, , , , , , ,0, , , , , , , , ,10/12/20 7:43,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:80c827ed-7ab4-47e4-a4e8-c086a13290ed,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1566166
1566167,Cal-IBIS,EMEC,EMEC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:catalog:EMEC:EMEC:1035830,EMEC1035830, ,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrionidae,Enallagma annexum,169511,"(Hagen, 1861)",Enallagma,Enallagma,Enallagma annexum,annexum, , , , , , , ,0, ,Joan Ball, ,8/19/12 0:00,2012,8,19,232,0,8/19/12, , , , , , , , , ,adult, ,1, , ,envelope,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, Prisoners Harbor, Central Valley Canyon",Santa Cruz, ,34.00153,-119.71461,WGS1984,3, , , , , , ,0, , , , , , , , ,10/12/20 7:43,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:6e7b0907-0453-4cad-96ee-30ba894b8f9c,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1566167
1566168,Cal-IBIS,EMEC,EMEC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:catalog:EMEC:EMEC:1035831,EMEC1035831, ,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrionidae,Enallagma annexum,169511,"(Hagen, 1861)",Enallagma,Enallagma,Enallagma annexum,annexum, , , , , , , ,0, ,Joan Ball, ,8/19/12 0:00,2012,8,19,232,0,8/19/12, , , , , , , , , ,adult, ,1, , ,envelope,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, Prisoners Harbor, Central Valley Canyon",Santa Cruz, ,34.00153,-119.71461,WGS1984,3, , , , , , ,0, , , , , , , , ,10/12/20 7:43,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:9781d236-c5ce-43ee-bf5a-c9833f4300ad,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1566168
1566171,Cal-IBIS,EMEC,EMEC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:catalog:EMEC:EMEC:1035834,EMEC1035834, ,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrionidae,Enallagma annexum,169511,"(Hagen, 1861)",Enallagma,Enallagma,Enallagma annexum,annexum, , , , , , , ,0, ,Joan Ball, ,8/19/12 0:00,2012,8,19,232,0,8/19/12, , , , , , , , , ,adult, ,1, , ,envelope,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, Prisoners Harbor, pond",Santa Cruz, ,34.01834,-119.68271,WGS1984,3, , , , , , ,0, , , , , , , , ,10/12/20 7:43,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:29cdc83e-9325-4961-b562-eb8f3cef11e1,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1566171
1566172,Cal-IBIS,EMEC,EMEC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:catalog:EMEC:EMEC:1035835,EMEC1035835, ,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrionidae,Enallagma annexum,169511,"(Hagen, 1861)",Enallagma,Enallagma,Enallagma annexum,annexum, , , , , , , ,0, ,Joan Ball, ,8/19/12 0:00,2012,8,19,232,0,8/19/12, , , , , , , , , ,adult, ,1, , ,envelope,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, Prisoners Harbor, pond",Santa Cruz, ,34.01834,-119.68271,WGS1984,3, , , , , , ,0, , , , , , , , ,10/12/20 7:43,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:9bd14af0-575b-424d-bab0-370274ce7fa0,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1566172
1566173,Cal-IBIS,EMEC,EMEC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:catalog:EMEC:EMEC:1035836,EMEC1035836, ,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrionidae,Enallagma annexum,169511,"(Hagen, 1861)",Enallagma,Enallagma,Enallagma annexum,annexum, , , , , , , ,0, ,Joan Ball, ,8/19/12 0:00,2012,8,19,232,0,8/19/12, , , , , , , , , ,adult, ,1, , ,envelope,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, Prisoners Harbor, pond",Santa Cruz, ,34.01834,-119.68271,WGS1984,3, , , , , , ,0, , , , , , , , ,10/12/20 7:43,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:2ee9da7a-1d75-45ed-b90c-a65a62593bc0,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1566173
1566174,Cal-IBIS,EMEC,EMEC, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,urn:catalog:EMEC:EMEC:1035837,EMEC1035837, ,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrionidae,Enallagma annexum,169511,"(Hagen, 1861)",Enallagma,Enallagma,Enallagma annexum,annexum, , , , , , , ,0, ,Joan Ball, ,8/19/12 0:00,2012,8,19,232,0,8/19/12, , , , , , , , , ,adult, ,1, , ,envelope,United States,California,Santa Barbara County, ,Santa Cruz,"Santa Cruz Island, Prisoners Harbor, pond",Santa Cruz, ,34.01834,-119.68271,WGS1984,3, , , , , , ,0, , , , , , , , ,10/12/20 7:43,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:3d595b1c-983f-43b4-8293-20c4e9778e9c,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1566174
1559531,Cal-IBIS,CAS,ENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,756da591-5c11-48ff-9ecc-1e2d6e731472,8156852, ,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrionidae,Enallagma civile,169518,"(Hagen, 1861)",Enallagma,Enallagma,Enallagma civile,civile, , , , , , , ,0, ,David Weissman, ,8/8/69 0:00,1969,8,8,220,0,DMY: 8-8-1969, , , , , , , , , ,adult, ,1, , ,pinned,United States,California,Los Angeles, ,San Clemente,San Clemente Island,San Clemente, ,32.9,-118.5009, ,0,"32.9, -118.5009", , , , , ,0, , , , , , , ,Jessica E. Rothery,2012-00-00 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:b04f9547-2bbc-4980-ab0b-5e190fab866f,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1559531
1559532,Cal-IBIS,CAS,ENT, ,b81c83d7-8ea1-475b-8c94-327913979a87,PreservedSpecimen,7c45e5f9-a0b4-4e4f-9dc4-9a4d3122f7b0,8156855, ,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Coenagrionidae,Enallagma civile,169518,"(Hagen, 1861)",Enallagma,Enallagma,Enallagma civile,civile, , , , , , , ,0, ,David Weissman, ,8/8/69 0:00,1969,8,8,220,0,DMY: 8-8-1969, , , , , , , , , ,adult, ,1, , ,pinned,United States,California,Los Angeles, ,San Clemente,San Clemente Island,San Clemente, ,32.9,-118.5009, ,0,"32.9, -118.5009", , , , , ,0, , , , , , , ,Jessica E. Rothery,2012-00-00 00:00:00,http://creativecommons.org/publicdomain/zero/1.0/, , ,urn:uuid:1e92a39a-16d4-492a-992f-c3a70b2608ff,http://www.cal-ibis.org:80/collections/individual/index.php?occid=1559532
