"","Var1","Freq"
"1","Geophilidae",7
"2","Henicopidae",1
"3","Himantariidae",5
"4","Lithobiidae",17
"5","Plutoniumidae",1
"6","Schendylidae",4
"7","Scolopendridae",23
"8","Scolopocryptopidae",2
"9","Scutigeridae",8
