kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,species check,sci_name,assign by island,needs review,MASTER_ELIM,isl_check,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,catapodium rigidum,desmazeria rigida,desmazeria rigida,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,desmazeria rigida,desmazeria rigida,desmazeria rigida,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,dichondra micrantha,dichondra micrantha,dichondra micrantha,,,KEEP,1,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,drymocallis glandulosa,drymocallis glandulosa var. wrangelliana,drymocallis glandulosa var. wrangelliana,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,drymocallis glandulosa var. wrangelliana,drymocallis glandulosa var. wrangelliana,drymocallis glandulosa var. wrangelliana,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya blochmaniae subsp. blochmaniae,dudleya blochmaniae subsp. blochmaniae,dudleya blochmaniae subsp. blochmaniae,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya blochmaniae subsp. insularis,dudleya blochmaniae subsp. insularis,dudleya blochmaniae subsp. insularis,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,hasseanthus blochmaniae subsp. insularis,dudleya blochmaniae subsp. insularis,dudleya blochmaniae subsp. insularis,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya caespitosa,dudleya caespitosa,dudleya caespitosa,,,KEEP,1,,,,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya cespitosa,dudleya caespitosa,dudleya caespitosa,,,KEEP,1,,,,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya gnoma,dudleya gnoma,dudleya gnoma,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya nesiotica,dudleya nesiotica,dudleya nesiotica,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,hasseanthus nesioticus,dudleya nesiotica,dudleya nesiotica,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,dudleya traskiae,dudleya traskiae,dudleya traskiae,,,KEEP,1,,,,,1,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,dysphania pumilio,dysphania pumilio,dysphania pumilio,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,echium candicans,echium candicans,echium candicans,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Elatinaceae,elatine californica,elatine californica,elatine californica,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,elymus multisetus,elymus multisetus,elymus multisetus,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,elymus repens,elymus repens,elymus repens,,,KEEP,1,1,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ericameria ericoides,ericameria ericoides,ericameria ericoides,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,ericameria palmeri var. pachylepis,ericameria palmeri var. pachylepis,ericameria palmeri var. pachylepis,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Namaceae,eriodictyon traskiae,eriodictyon traskiae subsp. traskiae,eriodictyon traskiae subsp. traskiae,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,erodium texanum,erodium texanum,erodium texanum,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,erysimum cheiri,erysimum cheiri,erysimum cheiri,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,eucalyptus cladocalyx,eucalyptus cladocalyx,eucalyptus cladocalyx,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,eucalyptus polyanthemos,eucalyptus polyanthemos,eucalyptus polyanthemos,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,eucalyptus sideroxylon,eucalyptus sideroxylon,eucalyptus sideroxylon,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,euphorbia crenulata,euphorbia crenulata,euphorbia crenulata,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,euphorbia lamarckii var. lamarckii,euphorbia lamarckii var. lamarckii,euphorbia lamarckii var. lamarckii,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,euphorbia serpyllifolia subsp. serpyllifolia,euphorbia serpyllifolia subsp. serpyllifolia,euphorbia serpyllifolia subsp. serpyllifolia,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,frangula californica,frangula californica subsp. californica,frangula californica subsp. californica,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,frangula californica subsp. californica,frangula californica subsp. californica,frangula californica subsp. californica,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,rhamnus californica,frangula californica subsp. californica,frangula californica subsp. californica,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,rhamnus californica subsp. californica,frangula californica subsp. californica,frangula californica subsp. californica,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,fraxinus uhdei,fraxinus uhdei,fraxinus uhdei,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium californicum subsp. flaccidum,galium californicum subsp. flaccidum,galium californicum subsp. flaccidum,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium murale,galium murale,galium murale,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Garryales,Garryaceae,garrya veatchii,garrya veatchii,garrya veatchii,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,cytisus linifolius,genista linifolia,genista linifolia,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,genista linifolia,genista linifolia,genista linifolia,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,cytisus monspessulanus,genista monspessulana,genista monspessulana,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,genista monspessulana,genista monspessulana,genista monspessulana,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,gilia tenuiflora,gilia tenuiflora,gilia tenuiflora,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,gilia tenuiflora subsp. hoffmannii,gilia tenuiflora subsp. hoffmannii,gilia tenuiflora subsp. hoffmannii,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,githopsis diffusa subsp. diffusa,githopsis diffusa subsp. diffusa,githopsis diffusa subsp. diffusa,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,harpagonella palmeri,harpagonella palmeri,harpagonella palmeri,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,haplopappus canus,hazardia cana,hazardia cana,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,hazardia cana,hazardia cana,hazardia cana,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,helenium puberulum,helenium puberulum,helenium puberulum,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Linaceae,hesperolinon micranthum,hesperolinon micranthum,hesperolinon micranthum,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,hordeum depressum,hordeum depressum,hordeum depressum,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Lycopodiopsida,Isoetales,Isoetaceae,isoetes orcuttii,isoetes orcuttii,isoetes orcuttii,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,juglans californica,juglans californica,juglans californica,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,juglans californica var. californica,juglans californica,juglans californica,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,juncus acutus,juncus acutus subsp. leopoldii,juncus acutus subsp. leopoldii,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,juncus acutus subsp. leopoldii,juncus acutus subsp. leopoldii,juncus acutus subsp. leopoldii,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,juncus effusus,juncus effusus subsp. pacificus,juncus effusus subsp. pacificus,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,juncus effusus subsp. pacificus,juncus effusus subsp. pacificus,juncus effusus subsp. pacificus,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,juncus phaeocephalus,juncus phaeocephalus var. phaeocephalus,juncus phaeocephalus var. phaeocephalus,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,juncus phaeocephalus var. phaeocephalus,juncus phaeocephalus var. phaeocephalus,juncus phaeocephalus var. phaeocephalus,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Juncaceae,juncus textilis,juncus textilis,juncus textilis,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,kickxia elatine,kickxia elatine,kickxia elatine,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,kopsiopsis strobilacea,kopsiopsis strobilacea,kopsiopsis strobilacea,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,lasthenia californica,lasthenia glabrata subsp. coulteri,lasthenia glabrata subsp. coulteri,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,lasthenia californica subsp. californica,lasthenia glabrata subsp. coulteri,lasthenia glabrata subsp. coulteri,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,lasthenia chrysostoma,lasthenia glabrata subsp. coulteri,lasthenia glabrata subsp. coulteri,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,lasthenia glabrata,lasthenia glabrata subsp. coulteri,lasthenia glabrata subsp. coulteri,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,lasthenia glabrata subsp. coulteri,lasthenia glabrata subsp. coulteri,lasthenia glabrata subsp. coulteri,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lathyrus tingitanus,lathyrus tingitanus,lathyrus tingitanus,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lathyrus laetiflorus subsp. alefeldii,lathyrus vestitus var. alefeldii,lathyrus vestitus var. alefeldii,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lathyrus vestitus subsp. alefeldii,lathyrus vestitus var. alefeldii,lathyrus vestitus var. alefeldii,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lathyrus vestitus var. alefeldii,lathyrus vestitus var. alefeldii,lathyrus vestitus var. alefeldii,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,lepidium strictum,lepidium strictum,lepidium strictum,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,lepidospartum squamatum,lepidospartum squamatum,lepidospartum squamatum,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,leptosiphon pygmaeus,leptosiphon pygmaeus subsp. pygmaeus,leptosiphon pygmaeus subsp. pygmaeus,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,leptosiphon pygmaeus subsp. pygmaeus,leptosiphon pygmaeus subsp. pygmaeus,leptosiphon pygmaeus subsp. pygmaeus,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,linanthus pygmaeus subsp. pygmaeus,leptosiphon pygmaeus subsp. pygmaeus,leptosiphon pygmaeus subsp. pygmaeus,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,limonium perezii,limonium perezii,limonium perezii,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,lithophragma affine,lithophragma affine,lithophragma affine,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,lithophragma affine subsp. mixtum,lithophragma affine,lithophragma affine,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,lithophragma maxima,lithophragma maximum,lithophragma maximum,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,lithophragma maximum,lithophragma maximum,lithophragma maximum,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,lobelia dunnii var. serrata,lobelia dunnii var. serrata,lobelia dunnii var. serrata,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,loeflingia squarrosa,loeflingia squarrosa,loeflingia squarrosa,,,KEEP,1,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,lonicera interrupta,lonicera interrupta,lonicera interrupta,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lupinus aliclementinus,lupinus guadalupensis,lupinus guadalupensis,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lupinus guadalupensis,lupinus guadalupensis,lupinus guadalupensis,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lupinus moranii,lupinus guadalupensis,lupinus guadalupensis,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lupinus variicolor,lupinus variicolor,lupinus variicolor,,,KEEP,1,1,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,lycium fremontii,lycium fremontii,lycium fremontii,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,lycium verrucosum,lycium verrucosum,lycium verrucosum,,,KEEP,1,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Ericales,Myrsinaceae,lysimachia minima,lysimachia minima,lysimachia minima,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,lythrum californicum,lythrum californicum,lythrum californicum,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malacothamnus clementinus,malacothamnus clementinus,malacothamnus clementinus,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malvastrum clementinum,malacothamnus clementinus,malacothamnus clementinus,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,malacothrix junakii,malacothrix junakii,malacothrix junakii,,,KEEP,1,,,,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malva arborea,malva arborea,malva arborea,,,KEEP,1,,,,1,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,matricaria occidentalis,matricaria occidentalis,matricaria occidentalis,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,meconella denticulata,meconella denticulata,meconella denticulata,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,medicago minima,medicago minima,medicago minima,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,medicago sphaerocarpa,medicago sphaerocarpos,medicago sphaerocarpos,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,medicago sphaerocarpos,medicago sphaerocarpos,medicago sphaerocarpos,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,munzothamnus blairii,munzothamnus blairii,munzothamnus blairii,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,stephanomeria blairii,munzothamnus blairii,munzothamnus blairii,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,myriopteris cooperae,myriopteris cooperae,myriopteris cooperae,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,cheilanthes newberryi,myriopteris newberryi,myriopteris newberryi,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,myriopteris newberryi,myriopteris newberryi,myriopteris newberryi,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Namaceae,nama stenocarpa,nama stenocarpa,nama stenocarpa,,,KEEP,1,,,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,nemophila menziesii,nemophila menziesii var. menziesii,nemophila menziesii var. menziesii,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,nemophila menziesii var. menziesii,nemophila menziesii var. menziesii,nemophila menziesii var. menziesii,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,nicotiana bigelovii,nicotiana quadrivalvis,nicotiana quadrivalvis,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,nicotiana quadrivalvis,nicotiana quadrivalvis,nicotiana quadrivalvis,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,notholaena californica,notholaena californica,notholaena californica,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,notholaena californica subsp. californica,notholaena californica,notholaena californica,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,notholaena californica subsp. leucophylla,notholaena californica,notholaena californica,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,oenothera elata,oenothera elata subsp. hirsutissima,oenothera elata subsp. hirsutissima,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,oenothera elata subsp. hirsutissima,oenothera elata subsp. hirsutissima,oenothera elata subsp. hirsutissima,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,gaura sinuata,oenothera sinuosa,oenothera sinuosa,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,oenothera sinuosa,oenothera sinuosa,oenothera sinuosa,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,panicum capillare,panicum capillare,panicum capillare,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,papaver somniferum,papaver somniferum,papaver somniferum,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,pectocarya heterocarpa,pectocarya heterocarpa,pectocarya heterocarpa,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,pentachaeta lyonii,pentachaeta lyonii,pentachaeta lyonii,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,persicaria lapathifolia,persicaria lapathifolia,persicaria lapathifolia,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,polygonum lapathifolium,persicaria lapathifolia,persicaria lapathifolia,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,petunia parviflora,petunia parviflora,petunia parviflora,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,phacelia ciliata,phacelia ciliata,phacelia ciliata,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,phacelia douglasii,phacelia douglasii,phacelia douglasii,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,phacelia cicutaria var. hubbyi,phacelia hubbyi,phacelia hubbyi,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,phacelia hubbyi,phacelia hubbyi,phacelia hubbyi,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,phacelia minor,phacelia minor,phacelia minor,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Arecales,Arecaceae,phoenix canariensis,phoenix canariensis,phoenix canariensis,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,pinus canariensis,pinus canariensis,pinus canariensis,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,pinus halepensis,pinus halepensis,pinus halepensis,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,pinus pinea,pinus pinea,pinus pinea,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,pinus radiata,pinus radiata,pinus radiata,,,KEEP,1,1,,,,,,,
Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,pinus torreyana,pinus torreyana subsp. insularis,pinus torreyana subsp. insularis,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,pinus torreyana subsp. insularis,pinus torreyana subsp. insularis,pinus torreyana subsp. insularis,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,pinus torreyana subsp. torreyana,pinus torreyana subsp. insularis,pinus torreyana subsp. insularis,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,pinus torreyana var. insularis,pinus torreyana subsp. insularis,pinus torreyana subsp. insularis,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,piperia michaelii,piperia michaelii,piperia michaelii,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,piperia unalascensis,piperia unalascensis,piperia unalascensis,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,platanthera cooperi,piperia unalascensis,piperia unalascensis,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asparagales,Orchidaceae,platanthera unalascensis,piperia unalascensis,piperia unalascensis,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,pisum sativum,pisum sativum,pisum sativum,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Apiales,Pittosporaceae,pittosporum undulatum,pittosporum undulatum,pittosporum undulatum,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,plantago maritima,plantago maritima,plantago maritima,,,KEEP,1,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Valerianaceae,plectritis ciliosa,plectritis ciliosa,plectritis ciliosa,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,pluchea sericea,pluchea sericea,pluchea sericea,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,poa bolanderi subsp. howellii,poa howellii,poa howellii,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Poales,Poaceae,poa howellii,poa howellii,poa howellii,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,polygala californica,polygala californica,polygala californica,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Polypodiaceae,polypodium scouleri,polypodium scouleri,polypodium scouleri,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Alismatales,Potamogetonaceae,potamogeton crispus,potamogeton crispus,potamogeton crispus,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,poterium sanguisorba,poterium sanguisorba,poterium sanguisorba,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,sanguisorba minor,poterium sanguisorba,poterium sanguisorba,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,sanguisorba minor subsp. muricata,poterium sanguisorba,poterium sanguisorba,,,KEEP,1,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gnaphalium ramosissimum,pseudognaphalium ramosissimum,pseudognaphalium ramosissimum,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,pseudognaphalium ramosissimum,pseudognaphalium ramosissimum,pseudognaphalium ramosissimum,,,KEEP,1,,,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,psilocarphus brevissimus,psilocarphus brevissimus var. brevissimus,psilocarphus brevissimus var. brevissimus,,,KEEP,1,,,,,,,1,
