kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,MASTER_ELIM,sci_name,needs review,assign_by_island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum giganteum var. compactum,KEEP,eriogonum giganteum,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum giganteum subsp. formosum,KEEP,eriogonum giganteum,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum giganteum var. formosum,KEEP,eriogonum giganteum,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum giganteum var. giganteum,KEEP,eriogonum giganteum,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande,KEEP,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande var. grande,KEEP,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande subsp. rubescens,KEEP,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande var. dunklei,KEEP,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande var. rubescens,KEEP,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande subsp. timorum,KEEP,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,eriogonum grande var. timorum,KEEP,eriogonum grande,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium angustifolium,KEEP,galium angustifolium,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium angustifolium subsp. angustifolium,KEEP,galium angustifolium,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium angustifolium subsp. foliosum,KEEP,galium angustifolium,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium angustifolium var. foliosum,KEEP,galium angustifolium,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium catalinense,KEEP,galium catalinense,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium catalinense subsp. acrispum,KEEP,galium catalinense,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,galium catalinense subsp. catalinense,KEEP,galium catalinense,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus,KEEP,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus asplenifolius,KEEP,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus aspleniifolius,KEEP,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus f. aspleniifolius,KEEP,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus subsp. asplenifolius,KEEP,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus subsp. aspleniifolius,KEEP,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus var. aspleniifolius,KEEP,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus floribundus,KEEP,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus subsp. floribundus,KEEP,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,lyonothamnus floribundus var. floribundus,KEEP,lyonothamnus floribundus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malacothamnus fasciculatus,KEEP,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malvastrum nesioticum,KEEP,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malvastrum nesioticum subsp. fasciculatus,KEEP,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malacothamnus fasciculatus catalinensis,KEEP,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malacothamnus fasciculatus subsp. catalinensis,KEEP,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malacothamnus fasciculatus var. catalinensis,KEEP,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malacothamnus fasciculatus var. fasciculatus,KEEP,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malacothamnus fasciculatus var. nesioticus,KEEP,malacothamnus fasciculatus,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,malacothrix foliosa,KEEP,malacothrix foliosa,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,malacothrix foliosa subsp. crispifolia,KEEP,malacothrix foliosa,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,malacothrix foliosa subsp. foliosa,KEEP,malacothrix foliosa,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,malacothrix foliosa subsp. philbrickii,KEEP,malacothrix foliosa,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,malacothrix foliosa subsp. polycephala,KEEP,malacothrix foliosa,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,malacothrix polycephala,KEEP,malacothrix foliosa,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,lavatera assurgentiflora,KEEP,malva assurgentiflora,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,lavatera assurgentiflora subsp. assurgentiflora,KEEP,malva assurgentiflora,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,lavatera assurgentiflora subsp. glabra,KEEP,malva assurgentiflora,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malva assurgentiflora,KEEP,malva assurgentiflora,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malva assurgentiflora subsp. assurgentiflora,KEEP,malva assurgentiflora,assign subsp by island,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,malva assurgentiflora subsp. glabra,KEEP,malva assurgentiflora,assign subsp by island,assign subsp by island
