kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,sci_name,Eliminate,SMI,SR,SCR,A,SBA,SNI,SCL,SCA,needs_info
Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,sidalcea malviflora,sidalcea malviflora subsp. malviflora,Keep,1,1,1,,,,,,""
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,artemisia californica,artemisia californica,Keep,1,1,1,1,1,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,astragalus miguelensis,astragalus miguelensis,Keep,1,1,1,1,,,1,,""
,,,,,quercus dumosa,quercus dumosa,,,,,,,,,,Yes
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,rosa californica,rosa californica,Keep,,1,1,,,,,1,""
Plantae,Tracheophyta,Magnoliopsida,Crossosomatales,Crossosomataceae,crossosoma californicum,crossosoma californicum,Keep,,,,,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,rhus ovata,rhus ovata,Keep,,,1,,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,baccharis douglasii,baccharis glutinosa,Keep,1,1,1,,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,salix lasiolepis,salix lasiolepis,Keep,1,1,1,1,,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos catalinae,arctostaphylos catalinae,Keep,,,,,,,,1,""
Plantae,Tracheophyta,Magnoliopsida,Poales,Cyperaceae,schoenoplectus californicus,schoenoplectus californicus,Keep,,,1,,,,,,""
Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,sonchus oleraceus,sonchus oleraceus,Keep,1,1,1,1,1,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Phrymaceae,diplacus parviflorus,diplacus parviflorus,Keep,1,1,1,1,,,1,,""
Plantae,Tracheophyta,Magnoliopsida,Boraginales,Hydrophyllaceae,phacelia cinerea,phacelia distans,Keep,1,1,1,1,1,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,acer macrophyllum,acer macrophyllum,Keep,,,1,,,,,,""
Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Adoxaceae,sambucus nigra subsp. cerulea,sambucus nigra subsp. caerulea,Keep,,1,1,,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,ceanothus arborius,ceanothus arboreus,Keep,,1,1,,,,,1,""
Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,arctostaphylos glandulosa,arctostaphylos glandulosa,Elim,,,,,,,,,""
Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,epilobium canum subsp. canum,epilobium canum subsp. canum,Keep,1,1,1,1,,,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus var. niveus,acmispon argophyllus var. niveus,Keep,,,1,,,,,,""
Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Chenopodiaceae,chenopodium ambrosioides,dysphania ambrosioides,Keep,,1,1,,,1,1,1,""
Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,keckiella cordifolia,keckiella cordifolia,Keep,,1,1,1,,,1,1,""
