kingdom_final,phylum_final,class_final,order_final,family_final,old_name,new_datasetname,syn_replace,Eliminate,SMI,SR,SCR,A,SBA,SNI,SCL,SCA
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Rhus ovata,Rhus ovata,,Keep,,,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Schinus molle,Schinus molle,,Keep,,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Toxicodendron diversilobum,Toxicodendron diversilobum,,Keep,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Apiastrum angustifolium,Apiastrum angustifolium,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Apium graveolens,Apium graveolens,,Keep,,1,1,,,1,1,
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Berula incisa,Berula erecta,,Keep,1,,1,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Berula erecta,Berula erecta,,Keep,1,,1,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Bowlesia incana,Bowlesia incana,,Keep,,1,1,,,,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Conium maculatum,Conium maculatum,,Keep,,,1,,,1,1,
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus carota,Daucus carota,,Keep,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Daucus pusillus,Daucus pusillus,,Keep,1,1,1,1,1,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Foeniculum vulgare,Foeniculum vulgare,,Keep,1,1,1,,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium caruifolium var. caruifolium,Lomatium caruifolium var. caruifolium,,Keep,1,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium caruifolium,Lomatium caruifolium var. caruifolium,,Keep,1,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium insulare,Lomatium insulare,,Keep,,,,,,1,1,
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Lomatium utriculatum,Lomatium utriculatum,,Keep,1,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Sanicula arguta,Sanicula arguta,,Keep,1,1,1,1,,1,1,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Sanicula crassicaulis,Sanicula crassicaulis,,Keep,,,,,,,,1
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Sanicula hoffmannii,Sanicula hoffmannii,,Keep,,1,1,,,,,
Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Torilis arvensis,Torilis arvensis,,Keep,,,1,,,,,1
