kingdom_final,phylum_final,class_final,order_final,family_final,scientificName,MASTER_ELIM,sci_name,,needs review,isl_check,SMI,SR,SCR,A,SBA,SNI,SCL,SCA,assign by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus var. adsurgens,KEEP,acmispon argophyllus var. adsurgens,,"Keep subspecies, bump to species, or take richness bloat?",1,,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus argophyllus var. adsurgens,KEEP,acmispon argophyllus var. adsurgens,,"Keep subspecies, bump to species, or take richness bloat?",1,,,,,,,1,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus var. argenteus,KEEP,acmispon argophyllus var. argenteus,,"Keep subspecies, bump to species, or take richness bloat?",5,,1,,,1,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus argophyllus argenteus,KEEP,acmispon argophyllus var. argenteus,,"Keep subspecies, bump to species, or take richness bloat?",5,,1,,,1,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus argophyllus subsp. ornithopus,KEEP,acmispon argophyllus var. argenteus,,"Keep subspecies, bump to species, or take richness bloat?",5,,1,,,1,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus argophyllus var. argenteus,KEEP,acmispon argophyllus var. argenteus,,"Keep subspecies, bump to species, or take richness bloat?",5,,1,,,1,1,1,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus argophyllus var. ornithopus,KEEP,acmispon argophyllus var. argenteus,,"Keep subspecies, bump to species, or take richness bloat?",5,,1,,,1,1,1,1,
,,,,,acmispon argophyllus var. argophyllus,ELIM,acmispon argophyllus var. argophyllus,,"Keep subspecies, bump to species, or take richness bloat?",0,,,,,,,,,
,,,,,lotus argophyllus var. argophyllus,ELIM,acmispon argophyllus var. argophyllus,,"Keep subspecies, bump to species, or take richness bloat?",0,,,,,,,,,
,,,,,acmispon argophyllus var. fremontii,ELIM,acmispon argophyllus var. fremontii,,"Keep subspecies, bump to species, or take richness bloat?",0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon argophyllus var. niveus,KEEP,acmispon argophyllus var. niveus,,"Keep subspecies, bump to species, or take richness bloat?",1,,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus argophyllus niveus,KEEP,acmispon argophyllus var. niveus,,"Keep subspecies, bump to species, or take richness bloat?",1,,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus argophyllus subsp. niveus,KEEP,acmispon argophyllus var. niveus,,"Keep subspecies, bump to species, or take richness bloat?",1,,,1,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus argophyllus var. niveus,KEEP,acmispon argophyllus var. niveus,,"Keep subspecies, bump to species, or take richness bloat?",1,,,1,,,,,,
,,,,,acmispon argophyllus x dendroideus,ELIM,acmispon argophyllus x dendroideus,K,,0,,,,,,,,,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon brachycarpus,KEEP,acmispon brachycarpus,,,2,,,1,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus humistratus,KEEP,acmispon brachycarpus,,,2,,,1,,,,,1,
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus,KEEP,acmispon dendroideus,,assign subsp by island,0,,,,,,,,,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus,KEEP,acmispon dendroideus,,assign subsp by island,0,,,,,,,,,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,acmispon dendroideus var. dendroideus,KEEP,acmispon dendroideus,,assign subsp by island,0,,,,,,,,,assign subsp by island
Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,lotus dendroideus dendroideus,KEEP,acmispon dendroideus,,assign subsp by island,0,,,,,,,,,assign subsp by island
