latitude,longitude,locality
34.0079,-120.0487,Channel Islands National Park; Santa Rosa Island
34.005,-119.753,NA
34.01999,-119.72558,Santa Cruz Island
33.995,-119.753,NA
33.2456,-119.4981,San Nicolas Island
32.89033508,-118.4866104,San Clemente Island
32.9,-118.5,San Clemente Island
34.016667,-119.716667,SCI
33.3428,-118.3273,Santa Barbara Island
34.036332,-120.376022,San Miguel Island
32.9,-118.5,"San Clemente Isl, China Cyn"
