sci_name,Barbara,Nicolas,Clemente,Catalina
artemisia nesiotica,22,40,34,0
calystegia macrostegia subsp. amplissima,5,32,34,0
Camissoniopsis cheiranthifolia,1,50,10,0
hornungia procumbens,2,24,3,0
