"","acceptedName","total","acceptedFamily","acceptedGenus"
"103","Sitobion fragariae",1,"Aphididae","Sitobion"
"104","Taylorilygus apicalis",6,"Miridae","Taylorilygus"
"105","Tempyra biguttula",1,"Rhyparochromidae","Tempyra"
"106","Thyanta custator",4,"Pentatomidae","Thyanta"
"107","Tuberolachnus salignus",1,"Aphididae","Tuberolachnus"
"108","Tuxedo cruralis",7,"Miridae","Tuxedo"
"109","Tuxedo drakei",1,"Miridae","Tuxedo"
"110","Usingerella simplex",1,"Miridae","Usingerella"
"111","Xanthochilus saturnius",3,"Rhyparochromidae","Xanthochilus"
"112","Xyonysius californicus",1,"Lygaeidae","Xyonysius"
"113","Zelus tetracanthus",9,"Reduviidae","Zelus"
"114","Zyginama aucta",1,"Cicadellidae","Zyginama"
