source,id,observed_o,month,year,observed_1,time_obser,time_zone,user_id,user_login,created_at,updated_at,quality_gr,license,url,image_url,sound_url,tag_list,descriptio,num_identi,num_iden_1,captive_cu,oauth_appl,island,place_gues,latitude,longitude,positional,public_pos,geoprivacy,taxon_geop,coordinate,positionin,position_1,species_gu,acceptedFamily,acceptedGenus,scientific,acceptedName,common_nam,iconic_tax,taxon_id
iNaturalist,1835353,Sun Aug 02 2015 13:44:00 GMT-0700 (PDT),8,2015,8/2/15,2015-08-02 20:44:00 UTC,Pacific Time (US & Canada),3494,damontighe,2015-08-05 20:37:16 UTC,2020-10-29 20:28:39 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1835353,https://inaturalist-open-data.s3.amazonaws.com/photos/2228967/medium.jpg?1438807148, , , ,6,0,FALSE,3,Santa Catalina,"Los Angeles County, US-CA, US",33.35866167,-118.370255,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,2602448,2016-01-14 4:07:06 PM PST,1,2016,1/14/16,2016-01-15 00:07:06 UTC,Pacific Time (US & Canada),159673,seavivs,2016-01-20 22:23:47 UTC,2020-10-26 08:08:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2602448,https://inaturalist-open-data.s3.amazonaws.com/photos/2906534/medium.jpeg?1453328648, , ,American  Bison spotted feeding near the Wrigley Marine Science Center lab building,5,0,FALSE,2,Santa Catalina,"Los Angeles County, US-CA, US",33.44486526,-118.4816496,129,129, ,open,FALSE,gps,gps,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,2630726,Wed Feb 05 2014 10:30:11 GMT-0800 (PST),2,2014,2/5/14,2014-02-05 18:30:11 UTC,Pacific Time (US & Canada),174470,wwww,2016-01-30 19:26:57 UTC,2020-10-29 20:25:52 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2630726,https://inaturalist-open-data.s3.amazonaws.com/photos/2947862/medium.jpg?1454182043, , ,American Bison,4,0,FALSE,3,Santa Catalina,"1?Çô99 Big Fishermans Cv, Avalon, CA, US",33.44514915,-118.4816365,25,25, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,2930648,4/5/16,4,2016,4/5/16, ,Pacific Time (US & Canada),216108,deedeeflower5,2016-04-13 23:58:55 UTC,2020-10-26 08:07:58 UTC,research, ,http://www.inaturalist.org/observations/2930648,https://static.inaturalist.org/photos/3358003/medium.JPG?1460591938, , , ,5,0,FALSE,0,Santa Catalina,catalina island,33.387886,-118.41631,20231,20231, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,2930657,4/5/16,4,2016,4/5/16, ,Pacific Time (US & Canada),216108,deedeeflower5,2016-04-14 00:01:17 UTC,2020-10-24 21:50:49 UTC,research, ,http://www.inaturalist.org/observations/2930657,https://static.inaturalist.org/photos/3358016/medium.JPG?1460592079, , , ,4,0,FALSE,0,Santa Catalina,catalina island,33.387886,-118.41631,20231,20231, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,2930661,4/5/16,4,2016,4/5/16, ,Pacific Time (US & Canada),216108,deedeeflower5,2016-04-14 00:02:11 UTC,2020-10-24 21:48:44 UTC,research, ,http://www.inaturalist.org/observations/2930661,https://static.inaturalist.org/photos/3358022/medium.JPG?1460592134, , , ,5,0,FALSE,0,Santa Catalina,catalina island,33.387886,-118.41631,20231,20231, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,2930672,4/5/16,4,2016,4/5/16, ,Pacific Time (US & Canada),216108,deedeeflower5,2016-04-14 00:05:59 UTC,2020-10-24 21:48:43 UTC,research, ,http://www.inaturalist.org/observations/2930672,https://static.inaturalist.org/photos/3358042/medium.JPG?1460592364, , , ,5,0,FALSE,0,Santa Catalina,catalina island,33.387886,-118.41631,20231,20231, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,3803710,2016/07/30 4:21 PM PDT,7,2016,7/30/16,2016-07-30 23:21:00 UTC,Pacific Time (US & Canada),35725,yetikat,2016-08-04 19:33:23 UTC,2020-10-24 21:46:17 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3803710,https://inaturalist-open-data.s3.amazonaws.com/photos/4442850/medium.jpg?1470334803, , ,OLYMPUS DIGITAL CAMERA,4,0,FALSE,0,Santa Catalina,"Los Angeles, California, United States",33.39605167,-118.4777517,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,3907172,2016-08-17 1:23:04 PM PDT,8,2016,8/17/16,2016-08-17 20:23:04 UTC,Pacific Time (US & Canada),297168,daryth,2016-08-17 20:26:39 UTC,2020-10-16 17:59:36 UTC,research, ,http://www.inaturalist.org/observations/3907172,https://static.inaturalist.org/photos/4592397/medium.jpeg?1471465613, , ,Seen at/on USC Wrigley Institute of Environmental Science in front of the cafeteria.,7,0,FALSE,2,Santa Catalina,"Unnamed Road Avalon, CA 90704",33.44507421,-118.4818975,7,7, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
iNaturalist,3907189,Wed Aug 17 2016 12:04:54 GMT-0700 (PDT),8,2016,8/17/16,2016-08-17 19:04:54 UTC,Pacific Time (US & Canada),278836,kelsinthesea,2016-08-17 20:31:00 UTC,2020-10-16 17:59:36 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/3907189,https://inaturalist-open-data.s3.amazonaws.com/photos/4595804/medium.jpg?1471489196, , ,"Not native, but wild.",4,0,FALSE,3,Santa Catalina,"Little Fishermans Cv, Avalon, CA, US",33.44483667,-118.481475,0,0, ,open,FALSE, , ,American Bison,Bovidae,Bos,Bison bison,Bos bison,American Bison,Mammalia,42408
