scientificName,acceptedName,acceptedFamily,acceptedGenus
Allokermes rattani,Allokermes rattani,Kermesidae,Allokermes
Platycotis ,,Membracidae,Platycotis
Pseudococcidae,,Pseudococcidae,
Amonostherium lichtensioides,Amonostherium lichtensioides,Pseudococcidae,Amonostherium
Anisococcus adenostomae,Anisococcus adenostomae,Pseudococcidae,Anisococcus
Anisococcus quercus,Anisococcus quercus,Pseudococcidae,Anisococcus
Chorizococcus abroniae,Chorizococcus abroniae,Pseudococcidae,Chorizococcus
Discococcus simplex,Discococcus simplex,Pseudococcidae,Discococcus
Discococcus spectabilis,Discococcus spectabilis,Pseudococcidae,Discococcus
Distichlicoccus salinus,Distichlicoccus salinus,Pseudococcidae,Distichlicoccus
Dysmicoccus ryani,Dysmicoccus ryani,Pseudococcidae,Dysmicoccus
Ehrhornia cupressi,Ehrhornia cupressi,Pseudococcidae,Ehrhornia
Amonostherium catalinae,Amonostherium lichtensioides,Pseudococcidae,Amonostherium
Ferrisia virgata,Ferrisia virgata,Pseudococcidae,Ferrisia
Heliococcus clemente,Heliococcus clemente,Pseudococcidae,Heliococcus
Heterococcus arenae,Heterococcus arenae,Pseudococcidae,Heterococcus
Miserococcus arenarius,Miserococcus arenarius,Pseudococcidae,Miserococcus
Paludicoccus distichlium,Paludicoccus disticlium,Pseudococcidae,Paludicoccus
Phenacoccus artemisiae,Phenacoccus artemisiae,Pseudococcidae,Phenacoccus
Phenacoccus colemani,Phenacoccus colemani,Pseudococcidae,Phenacoccus
Phenacoccus eriogoni,Phenacoccus eriogoni,Pseudococcidae,Phenacoccus
Phenacoccus eschscholtziae,Phenacoccus eschscholtziae,Pseudococcidae,Phenacoccus
Phenacoccus madeirensis,Phenacoccus madeirensis,Pseudococcidae,Phenacoccus
Phenacoccus ,,Pseudococcidae,Phenacoccus
Phenacoccus solani,Phenacoccus solani,Pseudococcidae,Phenacoccus
Pseudococcus affinis,Pseudococcus affinis,Pseudococcidae,Pseudococcus
Pseudococcus beardsleyi,Pseudococcus beardsleyi,Pseudococcidae,Pseudococcus
Pseudococcus longisetosus,Pseudococcus longisetosus,Pseudococcidae,Pseudococcus
Pseudococcus maritimus,Pseudococcus maritimus,Pseudococcidae,Pseudococcus
Pseudococcus ,,Pseudococcidae,Pseudococcus
Pseudococcus sp. nr. dispar,Pseudococcus sp. nr. dispar,Pseudococcidae,Pseudococcus
Puto yuccae,Puto yuccae,Pseudococcidae,Puto
Radicoccus kelloggi,Radicoccus kelloggi,Pseudococcidae,Radicoccus
Rhizoecus bicirculus,Rhizoecus bicirculus,Pseudococcidae,Rhizoecus
Rhizoecus falcifer,Rhizoecus falcifer,Pseudococcidae,Rhizoecus
Rhizoecus gracilis,Rhizoecus gracilis,Pseudococcidae,Rhizoecus
Rhizoecus nakaharai,Rhizoecus nakaharai,Pseudococcidae,Rhizoecus
Rhizoecus subcyperalis,Rhizoecus subcyperalis,Pseudococcidae,Rhizoecus
Scaptococcus ,,Pseudococcidae,Scaptococcus
Spilococcus corticosus,Spilococcus corticosus,Pseudococcidae,Spilococcus
Spilococcus implicatus,Spilococcus implicatus,Pseudococcidae,Spilococcus
Spilococcus keiferi,Spilococcus keiferi,Pseudococcidae,Spilococcus
Spilococcus pressus,Spilococcus pressus,Pseudococcidae,Spilococcus
Tridiscus distichlii,Tridiscus distichlii,Pseudococcidae,Tridiscus
Trionymus caricis,Trionymus caricis,Pseudococcidae,Trionymus
Trionymus frontalis,Trionymus frontalis,Pseudococcidae,Trionymus
Trionymus smithii,Trionymus smithii,Pseudococcidae,Trionymus
Trionymus utahensis,Trionymus utahensis,Pseudococcidae,Trionymus
Acizzia uncatoides,Acizzia uncatoides,Psyllidae,Acizzia
Paratrioza lavaterae,Paratrioza lavaterae,Psyllidae,Paratrioza
Psylla ,,Psyllidae,Psylla
Gerris,,Gerridae,Gerris
