Geocoris pallens,Geocoris pallens,Lygaeidae,Geocoris,,
Gerridae,,Gerridae,,,
Gerrini,,Gerridae,,,
Gerris remigis,Aquarius remigis,Gerridae,Aquarius,,
Gerromorpha,,,,,
Gloridonus,,Cicadellidae,Gloridonus,,
Glycaspis brimblecombei,Glycaspis brimblecombei,Aphalaridae,Glycaspis,,
Graptocorixa,,Corixidae,Graptocorixa,,
Gyponana angulata,Gyponana angulata,Cicadellidae,Gyponana,,
Gyponana procera,Gyponana procera,Cicadellidae,Gyponana,,
Gyponini,,Cicadellidae,,,
Haematosiphon inodorus,Haematosiphon inodorus,Cimicidae,Haematosiphon,,
Haplaxius,,Cixiidae,Haplaxius,,
Harmostes,,Rhopalidae,Harmostes,,
Harmostes reflexulus,Harmostes reflexulus,Rhopalidae,Harmostes,,
Hemiptera,,,,,
Heraeus coquilletti,Heraeus coquilletti,Rhyparochromidae,Heraeus,,
Heteroptera,,,,,
Hypselonotini,,Coreidae,,,
Idiocerus,,Cicadellidae,Idiocerus,,
Irbisia morio,Irbisia morio,Miridae,Irbisia,,
Irbisia pacifica,Irbisia pacifica,Miridae,Irbisia,,
Issidae,,Issidae,,,
Kleidocerys,,Lygaeidae,Kleidocerys,,
Largus,,Largidae,Largus,,
Largus californicus,Largus californicus,Largidae,Largus,,
Largus semipletus,Largus semipletus,Largidae,Largus,,
Leptoglossus,,Coreidae,Leptoglossus,,
Leptoglossus clypealis,Leptoglossus clypealis,Coreidae,Leptoglossus,,
Leptoglossus zonatus,Leptoglossus zonatus,Coreidae,Leptoglossus,,
Lopidea marginata,Lopidea marginata,Miridae,Lopidea,,
Lygaeidae,,Lygaeidae,,,
Lygaeinae,,Lygaeidae,,,
Lygaeus kalmii,Lygaeus kalmii,Lygaeidae,Lygaeus,,
Lygus,,Miridae,Lygus,,
Lygus bradleyi,Lygus bradleyi,Miridae,Lygus,,
Lygus elisus,Lygus elisus,Miridae,Lygus,,
Macrosiphoniella ludovicianae,Macrosiphoniella ludovicianae,Aphididae,Macrosiphoniella,,
Macrosiphum euphorbiae,Macrosiphum euphorbiae,Aphididae,Macrosiphum,,
Macrotylus dorsalis,Macrotylus dorsalis,Miridae,Macrotylus,,
