source,record,ORDER,acceptedOrder,FAMILY,acceptedFamily,GENUS,acceptedGenus,SPECIES,scientificName,acceptedName,DESCRIBER,YEAR,XREF,AUTHOR,YRPUBL,PUBL,VOL,PAGE,PAGE2,IDYRQUAL,MUSEUM,SOURCE,ANA,BAR,CAT,CLE,COR,CRU,GUA,MIG,NIC,ROS,NO,SO,COLLECTOR,MONTH,YRCOLL,NOSPEC,ECOLOGY,NOTES
Literature,Literature,Hemiptera,Hemiptera,Corixidae,Corixidae,Graptocorixa,Graptocorixa,uhleri,Graptocorixa uhleri,Graptocorixa uhleri,(Hungerford),1925,,Menke et al.,1979,Bull. Calif. Insect Survey,21,97,,,,map,,,,x,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Cydnidae,Cydnidae,Macroporus,Macroporus,repetitius,Macroporus repetitius,Macroporus repetitus,Uhler,1876,as Corimelanidae MISID,"Fellers, G. & Drost, C.",1991,Herp. Monographs,5,75,,,,,,x,,,,,,,,,,,,,,,lizard food,
Literature,Literature,Hemiptera,Hemiptera,Gerridae,Gerridae,Aquarius,Aquarius,remigis,Aquarius remigis,Aquarius remigis,(Say),1832,as Gerris,"Lee, Ryckman et al.",1955,Bull. S. Calif. Acad. Sci.,54,20,-21,,,,,,x,,,,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Gerridae,Gerridae,Aquarius,Aquarius,remigis,Aquarius remigis,Aquarius remigis,(Say),1832,as G. remigis caloregon SYN,Calabrese,1974,Ent. News.,85,27,-28,,,,,,,,,x,,,,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Gerridae,Gerridae,Aquarius,Aquarius,remigis,Aquarius remigis,Aquarius remigis,(Say),1832,as Gerris,Menke et al.,1979,Bull. Calif. Insect Survey,21,63,,,,map,,,x,x,,x,,,,x,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Gerridae,Gerridae,Aquarius,Aquarius,remigis,Aquarius remigis,Aquarius remigis,(Say),1832,,Kaitala & Dingle,1992,Ann. Ent. Soc. Amer.,85,590,-595,,,,,,,,,x,,,,,,,,,,,,
Literature,Literature,Hemiptera,Hemiptera,Gerridae,Gerridae,Aquarius,Aquarius,remigis,Aquarius remigis,Aquarius remigis,(Say),1832,,Preziosi & Fairbairn,1992,Evol.,46,430,-444,,,,,,,,,x,,,,,,,,,,,,
Literature,Literature,Hemiptera,Hemiptera,Lygaeidae,Lygaeidae,Cryphula,Cryphula,trimaculatus,Cryphula trimaculatus,Cryphula trimaculatus,(Distant),1882,Trapezus SYN,Cockerell,1916,Ent. News,27,469,,,,,,,,,x,,,,,,,,Cockerell,8,1915,,,
Literature,Literature,Hemiptera,Hemiptera,Lygaeidae,Lygaeidae,Emblethis,Emblethis,vicarius,Emblethis vicarius,Emblethis vicarius,Horvath,1908,,Cockerell,1940,Proc. Sixth Pac. Sci. Cong.,4,288,,H. G. Barber,,,,,,,,,,,x,,,,,0,,,,
Literature,Literature,Hemiptera,Hemiptera,Lygaeidae,Lygaeidae,Emblethis,Emblethis,vicarius,Emblethis vicarius,Emblethis vicarius,Horvath,1908,,Cockerell,1940,Proc. Sixth Pac. Sci. Cong.,4,288,,H. G. Barber,,,,,,,,,,,x,,,,,0,,,,
